gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4
0	1008	0	748	255	981	0	1039	0	956	0
1	1060	0	721	235	968	0	972	0	1055	0
2	1037	0	975	0	972	0	984	0	866	174
3	1030	0	961	0	975	0	997	0	855	168
4	1028	0	930	0	974	0	988	0	808	152
5	945	0	986	0	1049	0	987	0	961	0
6	1012	0	1066	0	1064	0	1020	0	1013	0
7	969	0	1085	0	972	0	1037	0	1014	0
8	789	203	1004	0	993	0	871	128	1009	0
9	979	0	1051	0	992	0	1013	0	807	158
10	712	338	964	0	974	0	1017	0	807	183
11	1001	0	744	292	974	0	960	0	1018	0
12	1037	0	1020	0	998	0	804	197	988	0
13	1070	0	964	0	1024	0	979	0	1036	0
14	968	0	1020	0	963	0	1002	0	1040	0
15	970	0	970	0	996	0	812	222	1007	0
16	1062	0	1040	0	922	0	996	0	1006	0
17	997	0	756	244	1078	0	1027	0	1016	0
18	1027	0	1027	0	1013	0	968	0	1032	0
19	992	0	937	0	1040	0	933	0	839	171
20	1027	0	1008	0	983	0	976	0	1007	0
21	995	0	1071	0	1033	0	960	0	971	0
22	976	0	977	0	942	0	965	0	851	170
23	1020	0	1024	0	1016	0	809	195	995	0
24	1023	0	969	0	1056	0	996	0	992	0
25	688	294	991	0	1022	0	1061	0	805	175
26	1056	0	992	0	1009	0	959	0	1007	0
27	837	203	950	0	978	0	857	128	978	0
28	1056	0	963	0	1003	0	1045	0	980	0
29	1000	0	996	0	1012	0	951	0	966	0
30	992	0	987	0	992	0	935	0	982	0
31	799	222	995	0	1012	0	881	124	956	0
32	1021	0	947	0	1059	0	1047	0	864	170
33	1034	0	731	242	1011	0	994	0	998	0
34	990	0	759	271	1038	0	1043	0	1014	0
35	998	0	992	0	1006	0	994	0	1036	0
36	933	0	740	258	1034	0	1052	0	1002	0
37	990	0	980	0	976	0	936	0	1032	0
38	1026	0	1012	0	1041	0	770	219	929	0
39	1035	0	986	0	972	0	799	198	1017	0
40	1101	0	775	272	1027	0	967	0	1059	0
41	998	0	739	259	952	0	975	0	1040	0
42	773	178	950	0	1039	0	951	102	994	0
43	1000	0	976	0	953	0	998	0	1067	0
44	937	0	1014	0	1036	0	994	0	800	164
45	1005	0	998	0	935	0	967	0	1019	0
46	973	0	984	0	1034	0	995	0	959	0
47	997	0	1013	0	713	307	1001	0	827	152
48	1015	0	1073	0	1012	0	1061	0	1012	0
49	1042	0	958	0	729	299	1036	0	828	186
50	1058	0	1011	0	1018	0	1022	0	960	0
51	979	0	760	239	992	0	996	0	1005	0
52	491	514	706	247	806	210	681	348	902	181
53	998	0	740	245	993	0	1015	0	1033	0
54	1000	0	1032	0	1032	0	805	205	998	0
55	995	0	1076	0	994	0	962	0	966	0
56	992	0	1010	0	976	0	1003	0	968	0
57	976	0	1010	0	974	0	1023	0	997	0
58	1050	0	951	0	997	0	829	189	978	0
59	1022	0	1025	0	966	0	1052	0	1002	0
60	1019	0	955	0	967	0	1034	0	962	0
61	1028	0	763	272	977	0	1049	0	996	0
62	975	0	1033	0	994	0	784	175	955	0
63	1019	0	950	0	1011	0	1005	0	964	0
64	973	0	775	264	1023	0	1084	0	1016	0
65	1015	0	993	0	1033	0	1034	0	864	180
66	726	324	953	0	966	0	1013	0	773	166
67	987	0	759	252	990	0	1015	0	968	0
68	481	469	743	226	786	195	721	366	809	158
69	979	0	1025	0	994	0	1016	0	992	0
70	1025	0	968	0	1028	0	967	0	997	0
71	968	0	982	0	1047	0	1011	0	1012	0
72	971	0	735	224	1003	0	951	0	945	0
73	994	0	1001	0	1018	0	966	0	1005	0
74	959	0	1008	0	950	0	1054	0	1010	0
75	1001	0	978	0	1016	0	1015	0	962	0
76	1008	0	1064	0	1057	0	1023	0	834	157
77	997	0	1000	0	980	0	1002	0	975	0
78	832	229	1020	0	974	0	856	133	958	0
79	1038	0	992	0	1035	0	975	0	1010	0
80	1006	0	1028	0	977	0	1038	0	1023	0
81	996	0	1019	0	982	0	1074	0	1033	0
82	1002	0	922	0	1008	0	1009	0	1008	0
83	959	0	767	261	971	0	1013	0	1069	0
84	992	0	742	269	1010	0	1026	0	1000	0
85	964	0	972	0	1024	0	1003	0	855	188
86	1017	0	959	0	1085	0	992	0	971	0
87	452	468	747	274	774	197	709	352	862	155
88	1051	0	980	0	1053	0	1005	0	850	166
89	1030	0	1029	0	956	0	1006	0	965	0
90	1004	0	793	271	1031	0	996	0	999	0
91	989	0	728	271	1003	0	961	0	1013	0
92	1016	0	794	237	1035	0	1049	0	1091	0
93	1001	0	719	244	986	0	954	0	1018	0
94	1029	0	786	253	1045	0	977	0	1006	0
95	512	511	697	262	806	194	654	326	799	179
96	989	0	713	299	988	0	979	0	1011	0
97	1055	0	1004	0	1059	0	809	224	1025	0
98	990	0	725	226	946	0	1017	0	984	0
99	984	0	985	0	985	0	1018	0	965	0
