gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4
0	106	0	105	0	78	13	93	0	87	0
1	96	0	88	0	104	0	90	0	98	0
2	94	0	77	17	93	0	103	0	101	0
3	108	0	113	0	86	14	107	0	121	0
4	85	0	79	32	100	0	68	29	99	0
5	109	0	80	27	121	0	64	39	114	0
6	83	0	82	12	104	0	88	0	88	0
7	103	0	96	0	90	17	88	0	90	0
8	104	0	102	0	98	0	105	0	114	0
9	98	0	69	31	114	0	76	21	111	0
10	110	0	75	19	83	0	56	28	89	0
11	83	0	67	44	85	0	73	25	109	0
12	92	0	98	0	83	0	108	0	109	0
13	104	0	98	0	125	0	107	0	98	0
14	86	21	80	29	97	0	72	30	93	30
15	99	0	93	0	80	17	100	0	95	0
16	97	0	88	0	99	23	108	0	92	0
17	106	0	79	23	88	0	66	23	92	0
18	103	0	103	0	78	23	90	0	109	0
19	99	0	90	0	99	14	125	0	86	0
20	108	0	106	0	89	14	109	0	101	0
21	93	0	86	0	108	0	110	0	112	0
22	112	0	73	19	103	0	111	0	91	0
23	90	0	74	24	97	0	84	21	84	0
24	89	0	71	9	87	0	110	0	102	0
25	86	0	64	16	97	0	80	24	87	0
26	119	0	76	0	90	0	115	0	103	0
27	105	0	93	0	97	0	103	0	102	0
28	120	0	76	24	107	0	83	8	93	0
29	95	0	94	0	108	0	92	0	97	0
30	92	0	76	21	98	0	95	0	82	0
31	85	0	93	0	72	11	103	0	79	0
32	73	0	107	0	96	15	88	0	83	0
33	108	0	82	15	105	0	94	0	123	0
34	114	0	111	0	100	0	88	0	100	0
35	99	0	92	21	115	0	76	25	94	0
36	108	0	96	0	82	17	124	0	113	0
37	112	0	96	0	88	8	104	0	109	0
38	104	0	93	0	72	18	108	0	98	0
39	92	0	69	28	97	0	60	30	109	0
40	125	0	91	0	81	16	77	0	127	0
41	114	0	81	30	102	0	92	18	114	0
42	112	0	60	25	101	0	76	30	96	0
43	91	0	99	0	99	20	96	0	96	0
44	86	0	100	0	75	19	86	0	71	30
45	95	0	101	0	73	21	105	0	93	0
46	113	0	61	42	122	0	63	22	93	0
47	106	0	60	29	97	0	69	27	100	0
48	103	0	77	13	104	0	112	0	85	0
49	93	0	103	0	72	19	98	0	107	0
50	98	0	91	30	90	0	73	20	97	0
51	104	0	79	22	96	0	88	16	94	0
52	70	26	97	18	52	29	79	15	93	28
53	93	0	99	25	103	0	88	19	97	0
54	95	0	60	31	113	0	69	19	98	0
55	100	0	85	22	116	0	82	25	107	0
56	101	0	79	18	93	0	73	21	82	0
57	112	0	71	20	114	0	80	19	85	0
58	116	0	95	0	73	16	87	0	99	0
59	97	0	96	0	89	10	102	0	95	0
60	102	0	62	35	90	0	67	25	98	0
61	97	0	95	14	100	0	90	0	86	0
62	94	0	87	17	95	0	106	0	97	0
63	110	0	89	24	89	0	106	0	94	0
64	121	0	75	24	101	0	83	23	100	0
65	89	0	86	17	80	0	91	0	99	0
66	98	0	111	0	94	20	109	0	69	25
67	103	0	73	15	85	0	77	0	96	0
68	107	0	76	22	91	0	68	23	99	0
69	105	0	98	0	80	16	105	0	100	0
70	96	0	60	38	94	0	71	35	107	0
71	96	0	80	20	101	0	73	20	106	0
72	104	0	54	23	109	0	83	38	87	0
73	98	0	93	0	77	18	95	0	107	0
74	99	0	72	28	92	0	101	0	106	0
75	92	0	54	30	117	0	74	41	90	0
76	96	0	65	35	123	0	57	23	110	0
77	103	0	98	0	78	19	107	0	88	0
78	84	0	82	21	113	0	76	18	114	0
79	90	0	102	0	109	0	105	0	92	0
80	94	0	78	23	94	0	81	19	98	0
81	116	0	114	0	107	0	98	0	93	0
82	95	0	64	33	92	0	76	22	86	0
83	111	0	96	0	92	10	92	0	122	0
84	102	0	79	36	100	0	62	26	87	0
85	93	0	109	0	73	17	94	0	90	0
86	109	0	83	18	101	0	87	0	104	0
87	111	0	102	0	70	17	113	0	95	0
88	104	0	73	20	105	0	86	0	83	0
89	90	0	102	0	66	16	94	0	104	0
90	95	0	80	0	97	0	102	0	94	0
91	81	0	100	0	86	12	89	0	106	0
92	63	23	78	16	77	33	92	15	77	25
93	89	0	88	12	82	0	103	0	92	0
94	117	0	90	0	91	16	101	0	77	29
95	107	0	89	19	99	0	67	20	116	0
96	97	0	88	25	111	0	76	20	103	0
97	112	0	70	23	117	0	82	25	108	0
98	110	0	77	29	113	0	90	23	84	0
99	65	21	79	17	77	38	71	11	78	30
