#chr	normal	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0	0.0	0.0	0.136363636364	0.0	0.0	0.0	0.1	0.19	0.0	0.0
1	0	0.131313131313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0	0.153846153846	0.14	0.0	0.0	0.0	0.0	0.0	0.190909090909	0.0	0.130952380952
3	0	0.0882352941176	0.178947368421	0.0	0.0	0.0	0.0	0.0	0.176470588235	0.0	0.151162790698
4	0	0.137931034483	0.119565217391	0.0	0.0	0.0	0.0	0.0	0.211538461538	0.0	0.0980392156863
5	0	0.424528301887	0.408695652174	0.428571428571	0.521276595745	0.5	0.489795918367	0.544642857143	0.436781609195	0.513043478261	0.37
6	0	0.0	0.162162162162	0.0	0.0	0.0	0.0	0.0	0.0	0.294117647059	0.0
7	0	0.14606741573	0.15625	0.0	0.0	0.0	0.0	0.0	0.115789473684	0.0	0.0786516853933
8	0	0.190476190476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0	0.0	0.1	0.122448979592	0.1875	0.0	0.28125	0.297297297297	0.266666666667	0.0	0.0
10	0	0.188679245283	0.182608695652	0.160714285714	0.0	0.258620689655	0.0	0.133333333333	0.195402298851	0.238532110092	0.274509803922
11	0	0.118279569892	0.119658119658	0.0	0.0	0.0	0.0	0.0	0.10843373494	0.0	0.0804597701149
12	0	0.0	0.0	0.175925925926	0.0	0.0	0.0	0.15	0.0	0.0	0.13829787234
13	0	0.142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	0	0.0952380952381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	0	0.491803278689	0.494623655914	0.469565217391	0.572815533981	0.445544554455	0.6	0.52380952381	0.48275862069	0.451923076923	0.425531914894
16	0	0.0947368421053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	0	0.186046511628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	0	0.14406779661	0.142857142857	0.0	0.0	0.0	0.0	0.0	0.15306122449	0.0	0.140186915888
19	0	0.181818181818	0.341176470588	0.176991150442	0.0	0.279569892473	0.0	0.154545454545	0.244897959184	0.184782608696	0.215053763441
20	0	0.0	0.0	0.178571428571	0.0	0.0	0.0	0.168224299065	0.0	0.0	0.147368421053
21	0	0.105691056911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	0	0.155963302752	0.14	0.0	0.0	0.0	0.0	0.0	0.193548387097	0.0	0.154639175258
23	0	0.148514851485	0.259615384615	0.15	0.0	0.337209302326	0.0	0.19587628866	0.191919191919	0.207547169811	0.25
24	0	0.185185185185	0.180952380952	0.0	0.0	0.0	0.0	0.0	0.188679245283	0.0	0.105263157895
