gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14
0	9833	0	8465	1536	8574	1384	10016	0	9954	0	9918	0	10058	0	8838	1171	9925	0	9875	0	8821	1184	9961	0	9875	0	10103	0	9994	0
1	9979	0	9941	0	8985	989	10086	0	9075	850	10284	0	8809	1159	9100	886	10157	0	10228	0	9974	0	10049	0	7817	2301	10004	0	8936	1160
2	9842	0	6097	4048	8516	1358	9997	0	9967	0	7522	2411	7406	2581	8982	1220	9861	0	8989	1010	8861	1181	8252	1782	7188	2680	7540	2449	9983	0
3	9845	0	9846	0	9937	0	9932	0	8769	1181	7549	2500	9931	0	9930	0	9970	0	9913	0	8888	1104	10133	0	10056	0	7468	2472	8524	1475
4	9898	0	9960	0	8989	981	10022	0	6333	3632	7464	2548	8699	1178	7612	2526	9917	0	9991	0	7415	2599	6864	3133	7796	2268	7483	2497	7424	2573
5	7753	2316	10005	0	9837	0	10107	0	8543	1337	10009	0	10074	0	8671	1243	10043	0	8602	1481	8893	1299	10002	0	9956	0	10049	0	10184	0
6	10129	0	10098	0	10072	0	9969	0	8818	1136	7568	2522	10040	0	9947	0	10024	0	10114	0	9043	1054	10166	0	9948	0	7357	2666	8505	1509
7	9933	0	9990	0	9107	995	10064	0	6387	3677	7314	2546	8877	1172	7666	2389	9867	0	9984	0	7433	2537	6819	3171	7739	2233	7491	2608	7288	2618
8	9886	0	9981	0	9051	984	9719	0	9160	887	10027	0	8695	1177	8989	870	9927	0	10130	0	10004	0	10051	0	7882	2220	10073	0	8881	1117
9	7696	2321	10014	0	10111	0	9987	0	8576	1299	10138	0	9977	0	8508	1281	10125	0	8423	1414	8619	1236	10054	0	9978	0	9870	0	10000	0
10	7665	2357	9957	0	9051	979	9888	0	5074	4955	7552	2540	8722	1195	6204	3694	10284	0	7604	2455	6230	3937	6815	3036	7758	2274	7498	2468	6139	3813
11	9810	0	9800	0	9085	1007	10167	0	9083	912	9951	0	8967	1154	8962	885	9911	0	9931	0	9860	0	10137	0	7823	2210	9976	0	8736	1182
12	7736	2337	9995	0	10003	0	10001	0	8703	1360	9929	0	9919	0	8604	1282	10169	0	8678	1388	8590	1186	9982	0	9888	0	10065	0	10199	0
13	10083	0	8527	1452	8662	1369	9944	0	10031	0	9979	0	10055	0	8864	1281	9983	0	9939	0	8674	1142	10072	0	9886	0	10000	0	9843	0
14	10006	0	8591	1515	8598	1333	9819	0	10156	0	10081	0	10070	0	8664	1271	10162	0	10182	0	8968	1203	10182	0	10119	0	9918	0	10044	0
15	10002	0	9915	0	9096	990	9963	0	9091	917	9855	0	8932	1214	9098	931	9979	0	9846	0	9897	0	10005	0	7678	2220	10138	0	8880	1140
16	10073	0	6104	3927	8722	1410	9956	0	10014	0	7711	2474	7394	2666	8748	1195	9884	0	8895	961	8747	1155	8214	1817	7188	2748	7455	2472	10084	0
17	10209	0	9997	0	9976	0	10035	0	8878	1194	7414	2511	10090	0	9932	0	9964	0	9908	0	9006	1062	10200	0	9992	0	7550	2523	8541	1466
18	10042	0	9917	0	9950	0	10044	0	9009	1151	7704	2579	9899	0	9883	0	10172	0	10116	0	8829	1074	9820	0	10085	0	7477	2510	8757	1486
19	9927	0	8419	1483	8567	1447	9978	0	9939	0	10031	0	9971	0	8748	1197	10080	0	10059	0	8822	1159	9979	0	9909	0	10077	0	9901	0
20	9995	0	10059	0	8911	1052	9905	0	9075	930	10116	0	8680	1168	9128	877	9904	0	9735	0	9901	0	10190	0	7813	2290	9909	0	8840	1173
21	10001	0	9008	1140	10097	0	10008	0	10137	0	10172	0	9047	1238	9968	0	9924	0	8989	960	9794	0	8215	1780	10078	0	9870	0	10183	0
22	10091	0	8513	1574	8697	1380	10196	0	10106	0	10048	0	9763	0	8743	1272	9729	0	10048	0	8743	1212	10009	0	9978	0	10074	0	10009	0
23	9894	0	8578	1554	8703	1406	9825	0	9935	0	10219	0	10065	0	8742	1235	10044	0	10114	0	8809	1171	10109	0	9994	0	9862	0	10034	0
24	9930	0	8294	1533	8608	1418	9924	0	10003	0	10004	0	9989	0	8844	1274	9838	0	10125	0	8866	1208	10103	0	9998	0	10146	0	9854	0
25	7618	2371	9994	0	8988	966	9891	0	4995	5016	7437	2531	8960	1211	6248	3776	9940	0	7556	2428	6128	3870	6776	3121	7800	2241	7464	2419	6156	3912
26	9963	0	10073	0	9979	0	10009	0	8835	1192	7574	2554	9930	0	10070	0	9837	0	10078	0	9060	1080	10111	0	9795	0	7510	2547	8523	1504
27	10169	0	10168	0	8991	961	10074	0	9076	886	9970	0	8728	1221	9063	904	9913	0	10089	0	9926	0	9979	0	7645	2184	9902	0	8834	1201
28	10060	0	9957	0	9876	0	10106	0	8919	1169	7353	2518	9976	0	9977	0	10095	0	10015	0	8831	1078	10041	0	10083	0	7525	2613	8641	1460
29	10054	0	10101	0	10134	0	9927	0	8856	1141	7472	2464	10068	0	9976	0	10027	0	10006	0	8867	1088	10037	0	10157	0	7414	2563	8679	1496
30	9844	0	10176	0	10023	0	10047	0	8862	1106	7410	2567	10041	0	9999	0	9984	0	9949	0	8898	984	10090	0	10002	0	7316	2466	8725	1514
31	9907	0	10021	0	9760	0	9735	0	8670	1115	7470	2456	9982	0	10043	0	9999	0	9972	0	8842	1012	9971	0	9889	0	7557	2594	8391	1418
32	9970	0	6037	3859	8478	1306	9979	0	10025	0	7465	2452	7322	2706	8863	1209	9986	0	9085	960	8813	1154	8174	1744	7295	2715	7464	2504	9914	0
33	10171	0	10042	0	9867	0	10020	0	8918	1156	7397	2558	9994	0	9995	0	9977	0	10024	0	9000	1053	10050	0	10112	0	7380	2518	8496	1430
34	7180	2701	6048	3970	6883	3064	6873	3138	10168	0	7616	2449	7525	2653	8949	1281	6821	3269	7289	2603	8874	1189	8097	1801	7144	2753	7551	2553	9962	0
35	7496	2655	6118	3884	7011	3013	6875	3174	9867	0	7434	2522	7295	2795	8844	1263	6938	3170	7217	2605	8783	1125	8202	1910	7177	2767	7517	2500	9903	0
36	10095	0	8656	1366	8504	1364	9966	0	10292	0	9889	0	9874	0	8731	1137	10039	0	9848	0	8951	1193	10014	0	9966	0	10230	0	10074	0
37	9969	0	8735	1449	8659	1445	9887	0	10066	0	10013	0	9897	0	8811	1211	10118	0	9908	0	8875	1157	9955	0	10194	0	10025	0	9959	0
38	10035	0	6054	3942	8661	1370	10133	0	10128	0	7684	2448	7242	2682	8841	1165	10071	0	8971	925	8896	1235	8220	1864	7200	2849	7439	2499	9854	0
39	9787	0	8424	1515	8624	1399	10051	0	9907	0	9906	0	10045	0	8748	1210	10039	0	10161	0	8884	1103	10089	0	9992	0	10101	0	10104	0
40	10124	0	9969	0	8963	938	10330	0	9084	931	9968	0	8694	1104	9077	895	9891	0	10182	0	9925	0	10008	0	7642	2192	9983	0	8845	1188
41	7722	2327	10078	0	10016	0	10023	0	8650	1280	9933	0	10093	0	8654	1321	9988	0	8418	1400	8709	1259	10140	0	10166	0	9827	0	9966	0
