gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14	sample15	sample15	sample16	sample16	sample17	sample17	sample18	sample18	sample19	sample19
0	9999	0	10078	0	8489	1653	10020	0	10008	0	10070	0	10002	0	7168	2827	9946	0	9995	0	8311	1902	9969	0	7135	2726	8221	2021	7743	2287	7299	2733	8490	1379	8388	1610	7382	2840	8123	1976
1	8080	1956	9913	0	10025	0	4965	5121	5067	4996	7345	2519	10151	0	9859	0	7456	2647	7621	2336	10171	0	8987	995	8780	1242	10003	0	7355	2758	7770	2254	9973	0	7569	2562	9139	864	8489	1420
2	7913	2022	9971	0	10143	0	7711	2260	7859	2164	10117	0	10083	0	9987	0	7337	2449	8933	1075	10052	0	8981	993	10125	0	10163	0	8666	1237	9996	0	9823	0	9178	973	9111	871	10183	0
3	9924	0	10140	0	9886	0	10075	0	9905	0	9986	0	9966	0	7280	2816	9871	0	9781	0	10112	0	9960	0	8782	1233	9927	0	9972	0	9861	0	8669	1487	8362	1590	10086	0	8099	1871
4	9977	0	9936	0	8358	1669	10121	0	10045	0	10018	0	9888	0	7245	2863	9816	0	10065	0	8122	1779	10003	0	7132	2803	8159	1894	7628	2304	7381	2610	8608	1429	8328	1578	7207	2855	7949	1995
5	8096	1959	10025	0	9872	0	5080	5096	4993	5049	7356	2489	10140	0	10027	0	7321	2540	7608	2378	10032	0	8963	1014	8936	1219	10154	0	7251	2699	7813	2247	10172	0	7482	2473	9091	894	8449	1408
6	10219	0	9961	0	9859	0	10045	0	9906	0	7334	2502	9829	0	9859	0	10224	0	9973	0	9989	0	9917	0	8864	1246	9981	0	9994	0	8700	1251	9822	0	8568	1450	10100	0	9898	0
7	10021	0	10033	0	10011	0	9973	0	9950	0	10034	0	10053	0	7255	2687	10045	0	10011	0	10023	0	10079	0	8608	1358	10191	0	10098	0	9800	0	8544	1387	8369	1689	10055	0	7982	1923
8	7070	3032	4994	5081	5097	4970	9809	0	9841	0	7516	2456	4952	4963	5003	4898	7502	2493	7386	2637	5099	4917	6124	3950	6296	3919	4965	4879	7628	2116	7261	2616	5016	5048	7462	2636	5769	4206	6460	3699
9	6939	3076	10067	0	8176	1696	9879	0	10118	0	7526	2419	9957	0	10037	0	10041	0	8484	1578	7921	1898	9967	0	10016	0	8422	1640	9955	0	10056	0	8683	1290	9980	0	10165	0	8228	1718
10	6976	3074	4963	4897	5011	4880	9942	0	9950	0	7545	2446	5017	4997	5034	4882	7642	2484	7314	2704	4929	5060	5952	4068	6321	3723	5024	4943	7620	2266	7454	2744	4958	5070	7424	2478	5914	4193	6340	3553
11	10157	0	9822	0	10039	0	10083	0	9988	0	9936	0	9988	0	7380	2807	9901	0	10060	0	10002	0	10031	0	8657	1299	9923	0	10042	0	10136	0	8602	1336	8459	1685	9885	0	8077	1896
12	7911	1971	9972	0	9947	0	5133	5046	4918	4976	7386	2577	10012	0	9955	0	7367	2538	7595	2453	10143	0	8990	1012	8763	1193	10093	0	7265	2689	7699	2305	9990	0	7545	2466	9243	953	8640	1284
13	7941	2061	10056	0	9958	0	4970	4878	4837	4990	7522	2483	10025	0	10044	0	7442	2543	7713	2422	10090	0	9116	1039	8894	1176	10020	0	7149	2690	7765	2320	9922	0	7490	2432	9254	873	8575	1404
14	7959	1973	9860	0	9950	0	5009	5067	4942	5060	7436	2524	9961	0	9939	0	7462	2463	7485	2379	9922	0	8928	1030	8898	1233	9931	0	7189	2668	7688	2299	10067	0	7458	2370	9065	843	8386	1377
15	9861	0	9890	0	10011	0	9944	0	9998	0	10088	0	9974	0	7246	2821	9895	0	9973	0	9876	0	10073	0	8882	1350	9896	0	10089	0	10067	0	8672	1390	8368	1642	9918	0	8041	1927
16	9852	0	9933	0	9809	0	9990	0	10151	0	7434	2597	9969	0	9824	0	10175	0	10006	0	9959	0	9699	0	8794	1203	9842	0	9849	0	8671	1253	9949	0	8299	1536	9932	0	9993	0
