gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14	sample15	sample15	sample16	sample16	sample17	sample17	sample18	sample18	sample19	sample19
0	10031	0	7109	2935	8108	2005	7498	2560	10096	0	7438	2524	8220	1864	7091	2854	10013	0	7650	2581	8123	1986	6016	4076	8132	1843	7652	2148	10006	0	8535	1531	7031	2907	7893	2294	10166	0	7455	2640
1	9982	0	10011	0	9975	0	9862	0	10085	0	8943	1143	9851	0	8751	1366	9967	0	9923	0	10010	0	8803	1261	10084	0	10060	0	10016	0	9908	0	8520	1297	10128	0	10065	0	9955	0
2	7869	2088	5039	4822	6603	3405	7505	2572	4954	5039	7571	2480	7013	3034	5050	5112	6889	3117	7633	2497	6655	3482	4932	5009	4977	5075	4997	4984	5098	5060	6140	3693	5203	5120	5028	4843	4962	5009	6279	3684
3	8758	1182	7998	2050	8596	1481	9924	0	9931	0	10076	0	10043	0	8925	1133	10006	0	9841	0	8733	1456	10064	0	8445	1476	8339	1504	8241	1726	10033	0	8848	1131	9899	0	7243	2862	10024	0
4	9974	0	10050	0	9880	0	10059	0	10007	0	10138	0	9926	0	10042	0	10121	0	9854	0	10046	0	8552	1402	8082	1963	9809	0	9915	0	10210	0	10111	0	9987	0	9990	0	9975	0
5	9994	0	9957	0	9926	0	10021	0	9899	0	8841	1163	10073	0	8630	1342	9941	0	10000	0	9970	0	8702	1234	9992	0	10104	0	10056	0	9930	0	8718	1311	9925	0	10025	0	10052	0
6	9843	0	6952	2818	8078	1925	7450	2528	9988	0	7508	2559	8001	1863	7009	2746	10008	0	7602	2499	8283	1822	5836	4124	8184	1927	7774	2192	9821	0	8407	1657	6985	2915	7705	2188	10038	0	7338	2657
7	10088	0	9972	0	9887	0	9903	0	8281	1633	10065	0	8727	1208	8865	981	9903	0	9993	0	9872	0	9828	0	9977	0	8569	1335	10038	0	10012	0	8934	1005	10095	0	10103	0	10082	0
8	10010	0	6987	2985	8014	1893	7397	2479	10141	0	7484	2488	8275	1917	7201	2810	10042	0	7520	2434	7967	2022	5737	4088	7979	1974	7665	2114	10002	0	8257	1677	7011	2921	7727	2165	9900	0	7325	2546
9	10027	0	7106	2918	8047	1885	7343	2519	10031	0	7397	2535	8114	1894	7343	2962	9896	0	7679	2461	8240	2023	5789	4212	8183	1906	7753	2155	9919	0	8259	1600	7094	2886	7693	2212	9908	0	7490	2728
10	8264	1537	10007	0	9935	0	7387	2524	9894	0	8625	1430	8043	1935	10267	0	10026	0	7514	2595	10030	0	10141	0	9971	0	9906	0	9972	0	10031	0	9996	0	9918	0	10114	0	8605	1312
11	8408	1585	9875	0	9762	0	7419	2428	10037	0	8657	1368	7982	1875	9901	0	10021	0	7316	2537	9985	0	10172	0	9899	0	10081	0	10056	0	9981	0	10003	0	10153	0	10193	0	8581	1384
12	9994	0	10079	0	10038	0	9947	0	9781	0	8935	1255	10039	0	8628	1327	9954	0	10145	0	10047	0	8796	1252	9980	0	9978	0	10145	0	9955	0	8572	1336	10028	0	9999	0	10012	0
13	9776	0	10081	0	9973	0	9874	0	10047	0	8891	1167	9976	0	8762	1347	10037	0	9901	0	10257	0	8765	1189	10015	0	9998	0	10015	0	9881	0	8657	1244	10149	0	10072	0	9969	0
14	9980	0	9907	0	7975	1920	10128	0	10145	0	8671	1347	8107	1878	8433	1475	10128	0	7493	2493	7975	1965	9989	0	9821	0	9984	0	10153	0	10003	0	9959	0	9883	0	10080	0	8746	1274
15	10114	0	9822	0	9963	0	9974	0	10003	0	8745	1199	10053	0	8734	1308	9898	0	10108	0	10000	0	8863	1290	10014	0	10021	0	9867	0	10037	0	8670	1331	10031	0	10077	0	9987	0
16	8306	1588	9920	0	10101	0	7591	2574	10035	0	8554	1333	8011	1952	10158	0	9999	0	7491	2477	10162	0	9993	0	10048	0	9911	0	10000	0	10034	0	9871	0	9984	0	9902	0	8633	1365
17	9989	0	10067	0	9849	0	9994	0	10011	0	8822	1207	9991	0	8624	1366	10161	0	9879	0	9864	0	8631	1194	9925	0	9903	0	9983	0	10217	0	8682	1297	9987	0	10135	0	10104	0
18	9982	0	9923	0	10131	0	9995	0	9985	0	8807	1227	10129	0	8584	1314	9990	0	10058	0	9997	0	8780	1268	9941	0	9983	0	9996	0	9962	0	8754	1348	10125	0	10039	0	10082	0
19	8383	1613	10010	0	10219	0	7654	2467	9960	0	8528	1386	8169	1857	10039	0	9872	0	7376	2623	9989	0	10131	0	10035	0	10028	0	9948	0	10132	0	9942	0	9784	0	10006	0	8759	1321
20	10030	0	9993	0	9998	0	9906	0	9966	0	8857	1175	10019	0	8748	1312	10146	0	10031	0	10005	0	8815	1251	9981	0	9968	0	9853	0	10002	0	8807	1248	10026	0	9930	0	9947	0
21	8773	1307	10145	0	8408	1597	9867	0	10069	0	8936	1126	9998	0	10068	0	8175	1856	10037	0	8477	1620	9952	0	9857	0	9953	0	9915	0	8802	1245	9994	0	10133	0	10072	0	9851	0
22	7883	2040	4989	5059	6745	3364	7451	2454	7038	2931	7489	2444	6887	3073	4908	5031	8663	1338	7671	2467	6455	3503	5042	5011	6565	3456	4962	5093	6938	3164	7308	2541	4969	5004	6647	3301	4906	5049	7308	2732
23	7795	2091	4931	5021	6679	3348	7584	2577	7051	2978	7643	2506	6812	3036	4935	4939	8633	1327	7535	2434	6624	3451	4922	4999	6550	3283	5038	5087	6798	3176	7490	2511	4995	5033	6573	3279	4986	5072	7410	2610
24	7740	2042	4975	5105	6565	3308	7465	2382	4946	5139	7402	2527	6962	3004	5014	4877	6883	3096	7519	2358	6672	3469	4869	4975	4936	4934	4935	5023	5089	4912	6078	3817	5097	4880	4867	4888	4993	4938	6321	3637
25	9920	0	10146	0	9922	0	9902	0	10148	0	8709	1185	9944	0	8657	1316	10078	0	10010	0	10082	0	8860	1281	9959	0	9916	0	9954	0	9916	0	8703	1311	10279	0	9981	0	9980	0
