gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14
0	10044	0	9927	0	9955	0	10164	0	10021	0	8723	1364	8421	1572	8740	1209	8743	1357	8973	1074	9883	0	8425	1719	10128	0	8699	1321	9956	0
1	10145	0	10097	0	10256	0	9213	955	8934	962	9010	959	9915	0	9993	0	9951	0	9975	0	10015	0	10129	0	10099	0	9064	1012	10080	0
2	9703	0	9980	0	9977	0	9981	0	9935	0	8618	1309	8345	1620	8551	1248	8757	1376	8919	1119	9864	0	8255	1770	10094	0	8863	1341	10079	0
3	7063	2896	10045	0	9959	0	10031	0	9929	0	9999	0	8126	1942	9817	0	9888	0	8725	1188	10085	0	10177	0	9993	0	9934	0	8415	1523
4	7179	2903	10099	0	9961	0	10045	0	9910	0	10036	0	7988	2057	10014	0	9899	0	8766	1251	10007	0	9803	0	9933	0	10148	0	8508	1581
5	7845	2091	5093	5002	5066	4992	5975	4014	5896	4002	5861	4058	6954	3099	6146	3953	7655	2304	7561	2432	7001	3174	7186	3047	6930	2949	8691	1309	6712	3423
6	9826	0	9944	0	9984	0	9125	908	9114	901	8966	997	9871	0	10044	0	8454	1541	8762	1268	9992	0	7957	2017	7861	2024	7434	2674	9936	0
7	7171	2858	10006	0	9854	0	10112	0	10028	0	10151	0	8187	2027	10194	0	10233	0	8808	1259	10163	0	9805	0	10044	0	9957	0	8241	1507
8	7211	2819	10019	0	9918	0	9952	0	10061	0	10200	0	8050	1911	9794	0	10074	0	8589	1260	10055	0	10105	0	10008	0	10103	0	8700	1475
9	9988	0	9857	0	9833	0	9943	0	9986	0	9894	0	9915	0	9165	876	9093	937	9985	0	8551	1596	8847	1225	9881	0	10122	0	10262	0
