gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14
0	10086	0	9048	874	8758	1081	10026	0	9958	0	10064	0	10062	0	9831	0	10140	0	10127	0	10061	0	10152	0	10013	0	10136	0	10052	0
1	7513	2612	7158	2726	7060	2783	5083	4918	5078	4974	4886	4933	5100	4907	6155	3829	5809	4107	5065	4997	4955	5006	5083	4958	4925	4900	4908	5079	8059	1968
2	7230	2800	7415	2911	7095	2866	4913	5077	5066	5005	4963	4971	4914	4967	5979	3855	5929	4012	4994	4937	4965	5060	4909	4991	4944	5021	5055	4958	8120	2068
3	7353	2703	7301	2843	7058	2836	4946	4883	5125	5186	4977	5074	5089	5021	6251	3873	5846	4103	5022	4981	4961	5221	5098	5003	4978	4994	5046	5015	8154	2104
4	7359	2681	7151	2777	7102	2852	4973	5071	5022	4991	4938	5101	5006	5052	6168	3706	5942	4131	5078	5019	4955	4949	4973	5147	5053	4988	5023	5075	8146	2002
5	10013	0	9945	0	9024	1126	10021	0	7633	2479	10014	0	10142	0	9996	0	9956	0	7501	2500	10098	0	9947	0	10015	0	9971	0	9944	0
6	10108	0	8931	924	8845	1083	9922	0	9936	0	10074	0	9944	0	9903	0	9921	0	10005	0	9873	0	9994	0	10024	0	10031	0	9923	0
7	7613	2438	7505	2227	8010	2149	10117	0	9971	0	9840	0	9903	0	8873	1164	9115	870	10028	0	10185	0	10109	0	9917	0	9945	0	6997	3026
8	8530	1562	7119	2784	7010	2855	6204	3780	7451	2512	5034	4868	7048	2807	6188	3921	6002	4113	7453	2514	9913	0	8051	1937	7236	2591	7053	3046	8090	1958
9	8210	1573	7343	2777	7184	2940	6235	3742	7520	2463	5038	5130	7151	2777	6311	3927	5846	4092	7500	2533	9910	0	8056	1865	7335	2552	7017	3001	8176	2093
10	7219	2714	7085	2839	7004	2871	4901	4928	5038	5070	5066	4944	4948	5064	6042	3899	5865	4090	4965	5041	4983	4998	5015	4907	4967	4938	4926	5003	8066	1995
11	8431	1502	7224	2867	7108	2851	6346	3741	7627	2501	4972	4984	7195	2785	6150	3748	5714	4192	7344	2430	9868	0	8258	1967	7458	2594	7010	2931	8024	1990
12	8507	1500	8507	1513	7287	2924	8058	1867	7378	2530	7598	2456	8546	1425	8028	2086	7224	2810	7499	2529	10005	0	9873	0	9994	0	6977	2954	7844	1959
13	10084	0	9066	885	8883	1081	10148	0	9976	0	10028	0	10091	0	10159	0	10102	0	10046	0	10006	0	10169	0	9923	0	9931	0	9952	0
14	7282	2691	7248	2715	7118	2942	5016	5108	4981	5060	5075	4910	4934	5105	6070	3890	5749	4185	5112	5123	5096	4932	5090	5032	4914	4990	4976	5067	7935	1838
15	8501	1554	8595	1530	7331	3014	8141	1858	7706	2524	7573	2500	8666	1387	7902	1977	7184	2792	7650	2479	9983	0	9899	0	9940	0	6993	2987	7913	1990
16	8507	1548	7173	2645	7215	3029	6312	3820	7459	2511	4892	4912	7239	2775	6034	3811	5789	4206	7580	2477	10047	0	8227	1855	7374	2541	6892	3002	8121	1958
17	10139	0	7779	2283	8994	1121	9856	0	10054	0	9963	0	10104	0	10115	0	10040	0	10070	0	9841	0	9939	0	10147	0	9938	0	9863	0
18	8480	1620	7306	2809	7232	2801	6288	3721	7468	2368	5003	5036	7225	2713	5990	3737	5745	4093	7444	2488	10001	0	8140	1923	7332	2555	7093	2967	7936	1987
19	10183	0	9092	905	8864	1092	9888	0	9995	0	10049	0	10048	0	10010	0	10058	0	10017	0	10004	0	9869	0	10002	0	9969	0	10182	0
20	7326	2734	7224	2735	7116	2974	5028	5085	4965	5016	4962	4909	5037	5046	6193	3739	5859	4172	4983	5059	4954	5001	5094	5025	5037	4933	5203	5090	7979	1963
21	7338	2582	7391	2634	7105	2949	5135	5069	4928	4958	5029	4962	4980	4949	6158	3953	5965	4142	4905	5135	5074	4996	4955	5038	5057	4924	5002	5022	8148	2014
22	9818	0	9060	883	8961	978	9990	0	9912	0	10118	0	10128	0	9897	0	9946	0	9817	0	9980	0	10037	0	9906	0	9975	0	10084	0
23	7420	2553	7319	2883	7121	2936	4930	4969	4874	4950	4950	5012	5004	5056	6279	3851	5846	4108	4989	4944	4888	5049	5096	4971	4953	5042	4971	4935	8199	2009
24	9748	0	9135	890	8892	1092	10123	0	10233	0	9848	0	9950	0	9969	0	10060	0	10067	0	10044	0	10048	0	10092	0	10113	0	9884	0
25	7356	2746	7229	2787	7099	2847	4942	4898	4995	4929	5135	5041	5020	4992	6167	3765	5751	4175	4945	5063	5016	5090	4985	5100	4884	5052	5023	5042	7831	1979
26	7469	2700	7350	2761	7081	2872	4919	5036	4980	4978	5099	4918	4983	5063	6223	3760	5754	4254	5032	5081	5022	4941	4857	5050	4949	5047	4925	4961	8024	1954
27	7421	2551	7253	2771	7068	2892	4973	4965	4974	5012	5067	4935	4898	4943	6308	3769	5746	4174	5044	5030	5101	5064	4862	5055	5103	5024	5159	5135	8046	1976
28	9992	0	10022	0	10074	0	9967	0	9964	0	9835	0	8580	1281	10075	0	9969	0	9937	0	6998	2752	8218	1776	7626	2422	10094	0	10007	0
29	10015	0	9032	919	8978	1083	9936	0	10104	0	9961	0	9953	0	9809	0	10010	0	9982	0	9868	0	10032	0	9942	0	10055	0	10054	0
30	10009	0	7776	2238	8804	1068	9887	0	10018	0	10222	0	10096	0	9884	0	9979	0	9895	0	9952	0	10014	0	10205	0	9896	0	9972	0
