gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4
0	908	89	622	309	969	0	758	234	749	271
1	923	101	784	156	997	0	1006	0	810	131
2	865	104	713	352	726	261	547	515	700	273
3	890	86	691	361	998	0	762	227	727	291
4	508	496	467	534	536	489	521	476	492	520
5	958	0	989	0	954	0	998	0	993	0
6	502	471	462	479	535	521	481	531	519	515
7	953	94	715	337	768	289	517	499	744	293
8	890	92	632	308	971	0	718	247	729	296
9	883	112	844	153	1004	0	1013	0	813	158
10	908	87	675	308	732	262	470	495	689	318
11	904	102	645	312	910	0	797	236	700	284
12	466	525	502	545	492	503	483	529	482	490
13	905	102	856	160	995	0	1010	0	836	154
14	898	95	828	155	1026	0	927	0	874	165
15	931	92	814	139	1043	0	1016	0	875	166
16	891	80	680	305	993	0	780	277	719	308
17	884	97	642	335	676	245	526	461	664	291
18	890	90	657	326	947	0	733	243	672	299
19	639	342	725	329	483	488	517	544	737	284
20	819	138	1009	0	783	258	958	0	1001	0
21	910	92	739	334	1003	0	749	237	698	281
22	935	91	873	180	969	0	1019	0	835	140
23	891	75	715	305	707	259	522	492	688	311
24	864	85	710	318	703	251	535	492	808	263
25	881	87	806	182	997	0	974	0	871	149
26	909	106	878	170	980	0	956	0	851	146
27	989	0	1015	0	974	0	1033	0	1003	0
28	895	116	676	293	1031	0	734	241	864	156
29	916	95	691	343	1039	0	769	253	729	245
30	904	92	672	349	930	0	773	274	678	280
31	681	345	692	339	496	515	493	509	697	268
32	1001	0	1029	0	1035	0	999	0	1069	0
33	688	355	670	316	574	489	516	502	698	287
34	861	91	726	329	742	248	519	477	760	306
35	923	95	697	316	753	234	485	458	705	268
36	881	86	685	316	736	247	484	505	717	291
37	925	109	837	164	1016	0	1032	0	833	134
38	891	96	690	344	1024	0	794	241	711	319
39	874	93	685	331	749	226	500	509	755	283
40	927	91	641	315	1005	0	729	246	916	142
41	921	99	698	334	1024	0	759	239	778	291
42	841	96	833	164	1054	0	1002	0	837	158
43	902	99	650	315	782	215	505	507	749	274
44	885	88	793	148	998	0	932	0	831	153
45	909	103	701	314	1021	0	755	241	716	278
46	897	99	646	320	969	0	725	246	838	155
47	879	88	640	293	740	260	511	480	678	315
48	873	108	872	149	1005	0	976	0	892	169
49	927	89	675	303	980	0	747	245	776	304
50	888	74	649	302	743	279	469	507	747	308
51	648	365	687	334	469	466	518	523	679	281
52	869	84	705	305	1018	0	747	281	686	293
53	822	89	688	303	753	273	513	530	685	285
54	890	102	680	309	951	0	742	245	871	169
55	842	85	870	177	1045	0	982	0	822	161
56	914	106	680	329	987	0	772	254	714	262
57	874	100	810	182	963	0	939	0	883	149
58	875	91	675	341	1041	0	743	246	846	138
59	927	92	663	344	707	244	486	498	742	294
60	893	100	658	326	967	0	778	257	779	175
61	889	92	674	317	1049	0	667	259	774	280
62	908	95	660	298	1031	0	744	259	730	257
63	1033	0	1007	0	991	0	990	0	956	0
64	946	101	677	318	1038	0	759	237	701	279
65	941	101	620	337	729	265	504	495	752	290
66	702	347	689	327	488	510	505	478	729	262
67	851	105	668	331	927	0	738	237	885	150
68	959	80	698	330	723	255	516	505	699	303
69	883	99	706	329	757	268	507	504	709	293
70	869	82	698	321	691	297	525	555	719	295
71	868	100	619	311	970	0	779	239	853	188
72	905	106	697	320	746	243	503	483	671	270
73	929	92	856	158	1005	0	994	0	838	122
74	698	322	683	307	511	516	532	523	723	295
75	876	108	650	342	712	285	493	502	758	264
76	946	91	693	326	1000	0	800	237	689	310
77	931	111	795	180	994	0	966	0	838	154
78	882	98	671	296	947	0	814	245	849	158
79	923	87	698	335	1063	0	752	251	691	293
80	896	96	686	367	1038	0	737	235	734	272
81	916	83	836	163	1032	0	975	0	860	140
82	898	99	735	320	1014	0	739	228	752	273
83	862	99	678	317	942	0	756	271	706	281
84	502	499	532	507	522	484	476	490	531	481
85	950	97	806	143	972	0	1031	0	841	146
86	910	96	691	300	669	253	501	558	701	292
87	915	104	976	0	755	211	997	0	1048	0
88	887	115	660	334	679	249	484	469	670	288
89	877	98	792	153	1038	0	1011	0	843	169
90	861	120	1007	0	786	229	988	0	957	0
91	984	0	808	179	960	0	1025	0	1008	0
92	898	95	674	347	727	288	531	496	687	285
93	908	96	861	129	1012	0	981	0	831	145
94	521	504	498	461	470	457	512	501	665	287
95	999	0	999	0	1076	0	986	0	968	0
96	897	94	636	305	998	0	728	225	861	161
97	928	92	689	320	994	0	730	216	757	296
98	887	101	674	341	697	257	515	502	736	269
99	903	104	685	313	996	0	787	228	705	295
