gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9
0	822	171	802	162	950	89	793	195	844	170	773	210	1020	0	808	245	994	0	809	135
1	1029	0	929	0	859	100	993	0	1009	0	1014	0	819	156	1017	0	997	0	1015	0
2	843	197	980	0	836	135	884	150	976	0	978	0	1012	0	1036	0	1019	0	784	176
3	882	132	957	0	1003	0	999	0	1003	0	977	0	1010	0	960	0	797	193	1001	0
4	768	200	979	0	856	141	832	151	1021	0	962	0	1001	0	1018	0	1016	0	864	149
5	812	180	902	155	941	95	783	186	805	169	818	226	1026	0	742	243	1032	0	839	146
6	1054	0	996	0	866	136	1022	0	971	0	1030	0	809	182	1014	0	1034	0	989	0
7	848	129	1055	0	976	0	927	0	1039	0	996	0	985	0	1064	0	775	200	959	0
8	853	124	873	179	883	94	893	83	824	155	915	79	993	0	808	243	759	197	862	158
9	875	141	801	164	904	105	940	80	825	172	908	89	996	0	794	230	801	199	845	145
10	869	128	848	156	872	72	935	77	819	160	897	96	1014	0	737	237	831	206	857	180
11	869	131	943	0	981	0	976	0	1034	0	993	0	1072	0	987	0	793	207	1003	0
12	788	191	978	0	825	134	850	143	1004	0	1023	0	966	0	1015	0	968	0	816	186
13	899	132	1016	0	992	0	1008	0	1011	0	1044	0	1005	0	997	0	773	188	1035	0
14	769	206	1005	0	834	169	842	161	1017	0	970	0	1005	0	942	0	973	0	834	193
15	936	128	834	157	929	95	935	93	834	166	930	89	983	0	759	224	766	201	848	160
16	879	133	868	140	871	78	920	70	849	161	860	112	993	0	787	240	767	193	860	156
17	859	124	824	160	901	105	920	88	835	183	934	92	1018	0	739	264	774	192	851	148
18	843	147	820	142	935	80	919	100	810	156	945	86	997	0	777	205	804	190	855	164
19	881	135	1023	0	997	0	1034	0	994	0	931	0	1046	0	1009	0	754	201	1037	0
20	939	129	826	163	914	89	892	73	798	153	954	95	1017	0	747	268	785	207	869	167
21	884	138	951	0	972	0	969	0	989	0	996	0	990	0	1002	0	826	181	1037	0
22	833	190	961	0	871	151	870	140	1041	0	1039	0	968	0	1042	0	997	0	805	157
23	789	208	1052	0	851	137	804	157	1023	0	945	0	998	0	1025	0	956	0	834	170
24	998	0	993	0	854	101	951	0	995	0	1002	0	850	163	973	0	968	0	965	0
25	855	126	906	130	869	76	907	90	829	184	860	96	1016	0	707	228	807	195	833	144
26	816	179	844	170	921	90	851	224	839	161	772	224	958	0	813	243	1031	0	792	146
27	838	121	836	171	915	85	855	87	863	172	886	80	1015	0	775	231	819	193	891	141
28	806	165	870	150	871	92	771	194	847	180	829	207	1075	0	817	260	972	0	857	162
29	991	0	967	0	862	126	1055	0	1007	0	988	0	822	145	1004	0	1017	0	969	0
30	807	137	958	0	995	0	929	0	984	0	1042	0	961	0	1039	0	817	186	961	0
31	888	135	862	169	931	92	952	99	805	170	945	89	1036	0	765	263	814	182	817	171
32	970	0	972	0	914	125	967	0	1001	0	986	0	816	145	1036	0	1008	0	1058	0
33	978	0	871	162	865	136	1010	0	983	0	843	122	994	0	961	0	970	0	952	0
34	983	0	1011	0	905	144	975	0	1017	0	1043	0	824	154	985	0	993	0	988	0
35	861	138	966	0	940	0	1002	0	1031	0	988	0	1020	0	1001	0	800	189	1013	0
36	973	0	1017	0	964	0	976	0	889	181	982	0	829	177	1009	0	952	0	994	0
37	1002	0	962	0	900	119	962	0	926	0	1023	0	899	144	997	0	1010	0	993	0
38	833	121	813	149	936	94	885	89	849	158	893	87	1035	0	754	257	768	186	834	170
39	809	182	830	162	899	88	809	219	814	149	732	234	929	0	737	239	980	0	776	178
40	1001	0	976	0	919	111	1095	0	911	0	977	0	826	159	966	0	1006	0	987	0
41	910	146	825	172	929	108	903	73	828	171	909	79	951	0	784	231	873	230	807	138
42	817	168	867	148	897	91	787	220	834	174	772	216	1017	0	813	256	964	0	834	160
43	820	159	863	167	948	80	777	237	786	157	775	201	948	0	715	233	1031	0	849	152
44	843	126	1000	0	1000	0	1005	0	991	0	1003	0	970	0	1033	0	767	233	984	0
45	1042	0	979	0	874	111	1015	0	935	0	996	0	846	158	930	0	1035	0	955	0
46	864	128	1006	0	999	0	996	0	958	0	959	0	951	0	973	0	738	174	950	0
47	1022	0	992	0	906	109	1001	0	1020	0	979	0	877	142	1021	0	1025	0	1028	0
48	844	152	966	0	1020	0	926	0	991	0	1027	0	985	0	1063	0	804	196	989	0
49	798	148	821	159	943	78	899	88	858	142	916	90	1007	0	770	257	778	226	873	167
50	995	0	994	0	968	0	1018	0	833	176	1032	0	807	178	993	0	975	0	1018	0
51	825	128	816	145	933	88	907	80	831	140	885	97	1024	0	735	219	806	213	869	153
52	971	0	791	159	825	167	1012	0	947	0	819	138	972	0	739	253	998	0	850	191
53	813	177	865	155	921	84	821	173	825	166	791	210	984	0	738	239	1023	0	817	171
54	1078	0	1005	0	949	137	995	0	944	0	986	0	835	139	897	0	992	0	1054	0
55	823	128	979	0	1043	0	1002	0	1013	0	1045	0	1026	0	1034	0	789	208	1028	0
56	994	0	638	315	837	140	891	161	728	328	764	292	602	362	740	251	693	329	813	175
57	984	0	1039	0	919	128	983	0	985	0	1017	0	897	152	978	0	1000	0	999	0
58	995	0	983	0	1031	0	1003	0	854	161	981	0	853	147	1044	0	982	0	1004	0
59	988	0	983	0	841	141	969	0	963	0	1002	0	804	158	971	0	964	0	986	0
60	1009	0	1004	0	839	110	965	0	948	0	1048	0	797	156	1015	0	961	0	1000	0
61	902	150	843	187	928	96	917	111	795	163	902	95	997	0	770	239	804	206	871	176
62	811	197	975	0	869	156	855	129	999	0	974	0	1031	0	1008	0	1003	0	843	171
63	1031	0	1062	0	911	128	967	0	1057	0	1030	0	852	162	1014	0	1008	0	962	0
64	1077	0	985	0	887	126	974	0	1010	0	1023	0	788	159	1028	0	979	0	1041	0
65	888	115	980	0	1006	0	1068	0	1021	0	1000	0	994	0	978	0	783	190	1018	0
66	888	180	875	158	883	96	866	222	893	139	793	215	1048	0	774	231	1066	0	872	187
67	925	138	1009	0	993	0	1020	0	1032	0	988	0	1027	0	982	0	811	230	955	0
68	968	0	975	0	843	106	982	0	1016	0	942	0	855	143	987	0	927	0	956	0
69	988	0	1029	0	870	113	999	0	1031	0	1005	0	815	123	1028	0	1015	0	1080	0
70	896	126	832	129	854	92	921	111	805	153	867	85	1021	0	774	236	749	167	793	172
71	1010	0	1011	0	867	122	930	0	940	0	1077	0	833	149	943	0	1004	0	1041	0
72	1014	0	956	0	886	114	993	0	1000	0	955	0	850	166	1043	0	953	0	1048	0
73	772	184	1000	0	839	145	814	156	991	0	1049	0	1000	0	1027	0	1030	0	789	154
74	847	142	880	159	929	90	932	77	838	187	896	90	1023	0	809	260	764	186	821	154
75	778	218	1020	0	883	127	829	130	985	0	1000	0	991	0	979	0	1000	0	782	155
76	887	126	1027	0	984	0	1002	0	963	0	990	0	1019	0	1010	0	763	224	1023	0
77	892	0	942	0	869	120	982	0	1033	0	987	0	855	151	912	0	1030	0	1053	0
78	749	115	825	150	894	85	855	85	790	153	895	74	1025	0	812	256	762	219	805	193
79	907	136	994	0	975	0	1023	0	955	0	1011	0	950	0	1000	0	819	200	1008	0
80	891	121	973	0	1034	0	984	0	959	0	1050	0	1011	0	1004	0	786	194	952	0
81	1013	0	1028	0	826	137	1003	0	995	0	1041	0	890	134	1010	0	1006	0	965	0
82	862	96	890	144	892	74	907	90	782	146	867	91	1037	0	745	217	812	189	826	156
83	997	0	1019	0	1013	0	999	0	840	175	988	0	860	162	1004	0	971	0	972	0
84	999	0	1072	0	847	108	1031	0	965	0	961	0	836	159	1012	0	968	0	1066	0
85	957	0	1044	0	891	118	1056	0	939	0	1061	0	783	143	916	0	983	0	1014	0
86	1004	0	1010	0	974	0	974	0	857	157	1006	0	863	158	976	0	1013	0	1023	0
87	1028	0	1032	0	888	92	1013	0	987	0	1048	0	892	154	993	0	960	0	928	0
88	1074	0	1012	0	922	138	949	0	1004	0	930	0	856	159	934	0	966	0	994	0
89	1032	0	1002	0	1013	0	1044	0	896	180	1069	0	906	156	1049	0	970	0	1023	0
90	1003	0	983	0	861	120	979	0	1004	0	1040	0	830	155	965	0	1012	0	1027	0
91	1031	0	986	0	1025	0	1003	0	876	180	1017	0	847	172	992	0	1061	0	1019	0
92	993	0	1046	0	852	123	991	0	1003	0	1069	0	772	148	954	0	1007	0	1015	0
93	819	126	1032	0	997	0	1019	0	991	0	1013	0	1026	0	991	0	777	210	998	0
94	999	0	1000	0	928	129	1046	0	996	0	1019	0	840	146	987	0	962	0	974	0
95	1028	0	1033	0	1009	0	1010	0	856	168	1042	0	796	156	1046	0	936	0	1034	0
96	893	118	838	174	859	81	891	86	887	178	933	91	963	0	752	233	798	212	856	164
97	851	112	841	166	933	93	863	99	817	166	886	97	968	0	778	228	822	191	871	159
98	919	115	908	135	1022	0	1052	0	882	155	993	0	950	0	785	249	830	175	761	159
99	960	0	1095	0	995	0	1035	0	838	168	1016	0	844	157	1005	0	992	0	1032	0
