gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14	sample15	sample15	sample16	sample16	sample17	sample17	sample18	sample18	sample19	sample19
0	971	0	1006	0	1031	0	824	208	1058	0	992	0	1009	0	949	0	1027	0	868	95	992	0	999	0	969	0	1007	0	1050	0	964	0	989	0	903	79	1035	0	1011	0
1	1021	0	850	160	825	203	660	308	791	179	981	0	956	0	722	296	1033	0	1013	0	1046	0	1002	0	988	0	732	251	956	0	927	0	1023	0	1047	0	979	0	682	313
2	714	326	643	371	483	510	526	468	486	531	684	330	494	492	488	483	483	493	621	369	465	515	507	502	642	370	765	246	497	507	729	305	526	455	486	529	635	379	517	473
3	939	0	994	0	1065	0	775	202	983	0	980	0	958	0	989	0	1000	0	903	100	1007	0	994	0	963	0	1010	0	1039	0	999	0	1020	0	908	89	999	0	1004	0
4	808	180	816	110	1001	0	998	0	1018	0	820	150	994	0	1004	0	997	0	894	130	1033	0	1004	0	804	123	803	237	1047	0	817	188	1052	0	1020	0	890	111	983	0
5	674	275	646	353	530	497	524	466	506	530	623	350	825	179	476	484	734	340	808	209	477	536	866	189	560	345	751	271	453	553	691	286	731	287	669	348	787	201	508	505
6	972	0	893	128	752	203	702	315	831	182	995	0	954	0	690	346	983	0	926	0	1046	0	1036	0	1020	0	750	250	1013	0	979	0	923	0	973	0	1028	0	696	280
7	991	0	836	139	779	218	683	305	786	204	958	0	1045	0	675	282	1004	0	988	0	1087	0	959	0	1040	0	708	250	981	0	1004	0	1025	0	993	0	978	0	704	322
8	791	216	896	150	952	0	1026	0	961	0	819	157	1016	0	1000	0	1004	0	867	128	953	0	1032	0	829	130	740	245	978	0	800	216	1025	0	1008	0	818	118	973	0
9	768	329	637	374	479	499	488	535	524	516	671	313	508	528	507	506	510	521	638	368	494	493	504	497	642	386	777	245	488	488	684	288	505	487	499	481	648	365	496	503
10	1039	0	890	140	781	196	669	282	763	214	1021	0	1026	0	711	263	1007	0	975	0	1004	0	976	0	977	0	747	251	967	0	1059	0	1045	0	1014	0	1013	0	709	276
11	1019	0	1044	0	1012	0	871	225	1021	0	1035	0	1039	0	1000	0	1044	0	864	84	972	0	949	0	1099	0	1078	0	993	0	994	0	991	0	905	91	975	0	1041	0
12	1001	0	841	148	814	202	743	299	835	186	1055	0	1026	0	723	302	993	0	963	0	977	0	984	0	962	0	637	277	997	0	1062	0	1045	0	957	0	988	0	739	294
13	956	0	968	0	938	0	781	205	1031	0	1000	0	976	0	1024	0	997	0	876	106	1030	0	971	0	1002	0	970	0	993	0	1002	0	1006	0	917	112	980	0	951	0
14	728	299	657	338	506	489	486	484	502	462	653	336	814	200	489	495	735	301	743	210	522	464	801	182	667	398	760	261	502	519	718	304	741	283	640	345	789	187	514	455
15	1010	0	1041	0	957	0	783	204	957	0	1012	0	986	0	1003	0	961	0	882	87	1020	0	993	0	1000	0	1046	0	947	0	1045	0	1014	0	938	90	986	0	1010	0
16	966	0	1014	0	1008	0	802	202	1035	0	971	0	947	0	963	0	1034	0	900	93	1013	0	1000	0	974	0	1035	0	996	0	1013	0	1024	0	881	90	943	0	1029	0
17	739	272	641	395	499	528	515	496	474	492	636	350	471	538	496	530	471	468	656	360	499	526	497	505	654	356	731	262	494	510	717	312	446	494	534	481	574	346	516	521
18	990	0	883	151	755	209	671	278	775	226	991	0	1006	0	675	288	974	0	990	0	999	0	1026	0	1021	0	784	262	981	0	986	0	1009	0	1037	0	977	0	705	270
