gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4
0	100	0	99	0	92	0	93	0	96	22
1	81	26	98	0	65	15	88	0	110	0
2	98	0	74	21	79	11	97	0	100	0
3	99	0	69	35	75	8	74	0	91	0
4	87	0	102	0	91	0	81	12	94	0
5	99	0	88	0	111	0	118	0	75	15
6	121	0	103	0	109	0	97	20	90	0
7	79	0	75	30	78	13	84	0	92	0
8	104	0	98	32	83	12	90	0	92	0
9	98	0	91	0	109	0	77	13	111	0
10	70	20	55	59	65	46	87	24	71	17
11	111	0	89	0	90	0	97	0	83	15
12	64	29	95	0	72	7	79	0	95	0
13	87	0	104	0	101	0	116	0	86	14
14	69	26	101	0	85	8	92	0	90	0
15	79	32	92	0	83	10	94	0	102	0
16	84	0	99	0	101	0	118	0	75	11
17	65	16	36	59	77	41	77	27	59	28
18	73	0	96	0	97	0	81	11	103	0
19	111	0	90	0	100	0	83	0	75	17
20	100	0	110	0	89	0	107	0	90	12
21	93	0	107	0	95	0	100	0	74	17
22	66	19	115	0	79	15	76	0	102	0
23	86	21	111	0	77	14	97	0	102	0
24	97	0	100	0	120	0	74	14	100	0
25	105	0	92	0	99	0	95	0	99	25
26	89	0	97	0	91	0	83	0	109	23
27	99	0	104	0	96	0	54	27	105	0
28	81	0	113	0	98	0	120	0	77	18
29	74	26	46	64	55	59	91	21	61	32
30	87	0	103	0	108	0	97	0	77	21
31	91	0	109	0	111	0	97	0	92	15
32	110	0	99	35	111	9	111	0	126	0
33	73	23	50	47	60	39	91	18	74	44
34	80	23	50	51	56	34	77	13	62	39
35	85	0	90	0	101	0	100	0	89	29
36	84	23	105	0	84	12	100	0	99	0
37	96	0	63	19	81	14	97	0	78	0
38	88	15	92	0	82	17	90	0	101	0
39	91	0	107	0	115	0	96	14	111	0
40	80	22	67	25	89	9	109	0	72	16
41	104	0	66	18	79	12	106	0	89	0
42	97	38	54	49	65	32	86	14	61	24
43	95	0	91	0	96	0	66	14	90	0
44	111	0	123	0	101	0	76	13	98	0
45	119	0	105	0	89	0	99	0	66	21
46	95	0	126	0	99	0	89	0	82	16
47	92	0	110	0	101	0	91	0	91	12
48	65	24	93	0	81	11	99	0	111	0
49	77	0	98	0	109	0	98	16	89	0
50	68	19	85	0	84	13	89	0	109	0
51	122	0	74	22	93	20	123	0	106	0
52	73	19	114	0	88	14	99	0	89	0
53	100	0	91	0	84	0	79	23	111	0
54	67	18	50	56	59	26	78	25	59	27
55	97	0	82	0	104	0	68	15	97	0
56	71	23	114	0	87	12	93	0	109	0
57	75	26	105	0	95	14	108	0	88	0
58	101	0	92	0	112	0	119	0	83	19
59	86	0	101	0	101	0	104	0	76	10
60	96	0	78	0	100	0	61	48	82	17
61	96	0	110	0	85	0	79	19	106	0
62	101	0	113	0	102	0	98	0	94	24
63	100	0	97	0	109	0	106	0	73	11
64	99	0	80	0	106	0	87	0	79	17
65	79	24	57	48	66	33	90	29	64	31
66	100	0	77	21	78	16	96	0	103	0
67	97	0	98	0	89	0	96	0	88	17
68	89	31	40	53	50	31	77	20	79	35
69	105	0	100	0	79	0	126	0	79	18
70	91	0	110	0	95	0	86	0	94	14
71	62	28	52	63	68	47	89	26	61	31
72	111	0	110	0	97	0	104	0	75	21
73	86	0	90	0	97	0	96	0	76	19
74	97	0	112	0	97	0	94	0	105	13
75	89	0	97	0	102	0	101	0	90	17
76	84	28	79	19	105	12	91	0	95	11
77	112	0	86	28	88	15	94	0	100	0
78	120	0	106	0	97	0	88	0	81	16
79	92	0	100	0	115	0	74	13	102	0
80	115	0	96	0	95	0	98	0	103	19
81	88	0	67	21	88	16	96	0	96	0
82	60	23	54	42	61	44	78	17	73	31
83	99	0	74	0	81	0	97	0	90	11
84	107	0	91	0	84	0	78	22	115	0
85	83	0	72	30	94	10	100	0	95	0
86	84	24	51	40	76	45	96	18	63	35
87	96	0	97	0	120	0	113	0	81	12
88	79	21	73	0	94	3	90	0	99	0
89	82	24	109	0	83	10	112	0	105	0
90	87	32	115	0	91	13	88	0	105	0
91	77	33	104	0	82	14	91	0	113	0
92	81	23	65	42	61	39	88	27	76	29
93	64	27	49	48	62	39	80	11	72	34
94	88	0	95	0	118	0	85	0	108	17
95	89	0	87	0	114	0	105	0	96	16
96	73	16	58	30	98	9	103	0	91	15
97	76	32	39	46	57	37	75	22	73	32
98	65	25	99	0	110	11	84	0	98	0
99	73	34	92	0	89	7	111	0	109	0
