gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14
0	960	0	943	0	844	165	966	0	1056	0	999	0	993	0	1079	0	1018	0	729	256	904	134	1023	0	992	0	831	145	967	108
1	1023	0	868	118	993	0	1052	0	851	109	952	0	817	205	776	213	842	185	764	264	1050	0	950	0	978	0	1020	0	1031	0
2	978	0	836	122	1001	0	941	0	822	137	1051	0	784	226	780	232	859	160	706	232	1018	0	1023	0	999	0	986	0	1013	0
3	496	493	901	141	886	187	629	389	493	527	723	266	804	202	496	500	656	351	528	504	501	505	807	209	731	264	728	286	479	528
4	1057	0	884	108	997	0	994	0	902	111	1015	0	801	192	798	231	810	186	750	252	1030	0	1016	0	1015	0	990	0	971	0
5	1014	0	1024	0	797	176	1012	0	1029	0	1040	0	967	0	1018	0	993	0	769	227	880	129	1009	0	1047	0	844	159	870	98
6	1000	0	1009	0	815	173	1006	0	948	0	1052	0	974	0	1077	0	1028	0	769	258	869	136	954	0	987	0	846	143	856	119
7	1040	0	752	278	795	194	904	105	1047	0	789	255	687	295	1073	0	1042	0	984	0	1040	0	699	300	764	247	770	222	923	0
8	1038	0	687	290	823	191	873	103	1062	0	781	213	694	283	940	0	981	0	1024	0	970	0	673	300	747	214	739	220	982	0
9	483	470	510	486	460	518	515	470	469	511	481	504	511	495	504	496	506	537	474	466	529	480	516	529	517	483	497	479	498	470
10	937	0	1017	0	1016	0	826	146	1044	0	890	132	998	0	720	273	1020	0	1002	0	811	181	1028	0	905	126	1007	0	848	149
11	984	0	946	0	829	171	997	0	1000	0	1037	0	938	0	942	0	1004	0	800	238	882	124	967	0	971	0	895	157	878	119
12	976	0	1005	0	820	170	1044	0	996	0	947	0	987	0	1040	0	997	0	744	241	879	132	1021	0	1089	0	813	132	923	99
13	1029	0	692	309	815	208	953	106	1030	0	736	256	700	329	994	0	960	0	994	0	990	0	682	324	727	263	751	238	976	0
