gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14	sample15	sample15	sample16	sample16	sample17	sample17	sample18	sample18	sample19	sample19
0	97	0	96	0	123	0	108	0	76	13	131	0	110	0	86	13	124	0	75	0	118	0	101	0	102	0	107	0	90	9	106	0	88	0	88	0	97	0	94	0
1	107	0	89	0	91	20	94	0	100	0	85	18	99	0	80	9	97	0	79	24	84	15	106	0	107	0	89	0	89	18	99	0	83	15	80	0	87	0	95	9
2	76	16	99	0	84	22	89	13	105	0	83	0	110	0	94	19	89	0	70	20	81	15	86	0	110	12	101	16	98	0	92	0	103	0	83	18	96	0	96	0
3	102	0	94	0	90	0	97	0	63	15	99	0	106	0	92	0	89	0	114	0	114	0	75	28	74	10	91	0	99	0	114	0	69	17	98	0	90	23	94	0
4	80	0	102	0	90	17	98	0	111	0	91	0	69	19	104	0	86	0	97	0	110	0	94	8	99	0	89	0	83	10	104	0	99	8	82	20	74	0	92	0
5	82	20	80	29	92	0	92	9	63	42	83	14	108	0	79	12	86	23	103	0	94	10	58	32	62	52	60	31	80	30	82	23	115	16	67	15	59	41	96	15
6	113	0	102	0	75	18	84	0	94	0	93	0	89	20	106	0	104	0	117	0	114	0	82	8	113	0	106	0	102	17	92	0	84	11	89	13	107	0	94	0
7	116	0	97	0	104	0	102	0	82	18	114	0	110	0	109	0	96	0	101	0	107	0	100	20	84	12	88	0	107	0	102	0	96	10	111	0	62	30	87	0
8	101	0	116	0	92	20	121	0	95	0	94	0	67	10	108	0	109	0	113	0	109	0	99	16	94	0	102	0	81	18	97	0	76	9	78	15	86	0	99	0
9	81	26	112	0	100	0	114	0	88	7	88	16	97	0	83	0	72	27	106	0	113	0	98	0	105	16	69	31	98	0	93	0	115	0	104	0	85	0	106	0
10	84	0	89	0	85	18	122	0	103	0	91	0	66	26	110	0	96	0	99	0	78	0	93	11	121	0	116	0	76	8	108	0	81	11	103	18	99	0	102	0
11	71	23	81	20	45	26	86	27	79	21	75	20	67	25	52	40	72	26	48	42	76	37	76	0	82	12	79	16	104	14	87	31	75	21	79	23	99	0	37	32
12	105	0	119	0	93	0	106	0	85	7	119	0	102	0	85	9	105	0	99	0	122	0	100	0	93	0	117	0	94	11	83	0	93	0	121	0	100	0	117	0
13	88	0	114	0	91	0	89	0	86	10	80	0	81	0	72	10	99	0	117	0	94	0	130	0	107	0	93	0	82	13	101	0	95	0	82	0	109	0	119	0
14	72	29	98	0	93	0	98	0	86	13	88	17	99	0	109	0	65	25	102	0	99	0	107	0	82	13	77	23	91	0	102	0	109	0	98	0	83	0	107	0
15	94	0	89	0	87	18	99	0	112	0	110	0	64	19	97	0	104	0	115	0	113	0	68	16	93	0	97	0	89	12	92	0	93	13	71	18	101	0	101	0
16	75	22	80	16	85	0	83	17	58	33	64	24	112	0	86	10	59	19	95	0	75	11	57	41	51	34	73	37	85	24	87	20	79	18	80	10	54	42	80	12
17	76	20	96	0	82	0	101	0	68	11	100	12	102	0	109	0	91	23	94	0	95	0	94	0	78	13	89	25	103	0	101	0	88	0	105	0	73	0	95	0
18	66	30	108	0	104	0	88	0	98	13	98	16	103	0	113	0	87	24	109	0	100	0	88	0	87	6	69	23	97	0	95	0	94	0	82	0	109	0	89	0
19	134	0	93	0	95	0	112	0	77	10	110	0	119	0	86	6	89	0	105	0	91	11	104	0	90	12	77	15	91	13	89	17	94	0	63	11	103	0	103	0
20	87	0	103	0	83	19	103	0	89	0	105	0	70	16	100	0	115	0	84	0	81	0	88	19	92	0	104	0	87	13	116	0	103	11	76	14	80	0	83	0
21	97	0	93	0	102	0	98	0	88	7	94	0	102	0	86	13	86	0	100	0	98	0	102	0	105	0	86	0	78	8	97	0	80	0	105	0	101	0	98	0
22	62	26	107	0	78	0	102	0	86	22	100	13	109	0	111	0	83	26	103	0	108	0	98	0	94	7	67	15	94	0	107	0	82	0	100	0	91	0	98	0
23	100	0	91	0	108	0	112	0	80	13	80	0	85	0	80	11	99	0	106	0	95	0	91	0	94	0	107	0	72	8	122	0	88	0	116	0	76	0	105	0
24	82	26	111	0	88	0	113	0	91	14	86	10	100	0	96	0	73	17	98	0	100	0	81	0	76	6	76	15	101	0	93	0	106	0	108	0	94	0	110	0
