gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4
0	8888	1113	10071	0	9861	0	8497	1631	10012	0
1	8870	1092	8844	1027	10102	0	10163	0	9068	1076
2	8865	1177	8899	1068	10025	0	9814	0	8750	1050
3	10044	0	10008	0	10045	0	9932	0	8611	1348
4	9994	0	8771	1303	10169	0	6466	3489	9987	0
5	9984	0	8796	1236	9927	0	6560	3448	10013	0
6	8656	1189	10158	0	9983	0	9974	0	9916	0
7	8880	1131	9000	1062	8571	1239	8517	1632	8998	1035
8	8755	1171	9957	0	9820	0	8426	1546	9978	0
9	9023	1165	9891	0	10208	0	10034	0	10249	0
10	9988	0	8760	1248	10042	0	6676	3431	10008	0
11	8817	1132	9848	0	10047	0	8420	1607	9961	0
12	10064	0	8956	1221	9885	0	6581	3467	10097	0
13	9851	0	8802	1223	10039	0	6519	3401	10008	0
14	10098	0	8732	1254	9876	0	6642	3427	10017	0
15	8913	1211	9974	0	9869	0	10075	0	10028	0
16	8749	1136	9927	0	10066	0	8474	1656	10045	0
17	8740	1127	9954	0	10101	0	10097	0	9882	0
18	8905	1093	9911	0	10123	0	10057	0	10085	0
19	8867	1136	9964	0	9956	0	9969	0	9941	0
20	8853	1108	10159	0	9977	0	9897	0	10132	0
21	8806	1134	10042	0	9930	0	10021	0	9809	0
22	8910	1123	9983	0	9973	0	8282	1627	9896	0
23	9904	0	9900	0	9808	0	9823	0	10140	0
24	8139	1681	8436	1612	8141	1908	9990	0	10029	0
25	8638	1176	9822	0	10046	0	8300	1662	10163	0
26	8334	1645	8434	1681	8074	1902	10044	0	10151	0
27	9878	0	8773	1216	10041	0	6603	3482	10068	0
28	8885	1171	10100	0	9943	0	9834	0	10095	0
29	8791	1177	10117	0	10060	0	9917	0	10062	0
30	8796	1156	10165	0	10001	0	10174	0	10009	0
31	8818	1215	9950	0	10098	0	10011	0	10069	0
32	8911	1105	10041	0	9832	0	8529	1593	9962	0
33	9999	0	9953	0	9903	0	9994	0	8582	1352
34	9906	0	10098	0	9829	0	10051	0	8707	1326
35	8825	1134	9951	0	9945	0	9886	0	9973	0
36	8860	1099	10000	0	10028	0	10073	0	10202	0
37	8932	1085	8975	1000	6913	3086	8426	1515	7468	2596
38	10157	0	8832	1254	9981	0	6648	3448	10031	0
39	8821	1092	8995	1051	8804	1233	8331	1580	9016	1057
40	9111	1060	8970	1038	8743	1327	8288	1534	9054	1025
41	9801	0	8782	1195	9937	0	6632	3477	10009	0
42	8203	1652	8375	1613	7961	1949	10020	0	9889	0
43	8886	1173	10062	0	10016	0	10136	0	9963	0
44	8885	1097	10183	0	9974	0	8333	1600	10078	0
45	10014	0	10153	0	9800	0	10042	0	8672	1335
46	8965	1150	9873	0	10039	0	8388	1507	9944	0
47	10018	0	10069	0	10255	0	9876	0	9897	0
48	8893	1093	9053	1116	9852	0	9978	0	8916	1051
49	9037	1142	8904	1095	8623	1240	8388	1531	8986	977
50	10116	0	10010	0	9955	0	9958	0	8435	1379
51	8888	1142	9978	0	10069	0	8103	1558	10246	0
52	8658	1174	10086	0	10052	0	10147	0	10029	0
53	8856	1160	10076	0	9961	0	9940	0	9924	0
54	8822	1137	8926	1065	8950	1244	8410	1536	8876	1060
55	9885	0	8741	1151	9978	0	6482	3517	9905	0
56	8752	1182	10086	0	9996	0	9827	0	10013	0
57	9946	0	9859	0	9964	0	9915	0	8622	1390
58	9998	0	8808	1302	9918	0	6564	3471	10035	0
59	8806	1116	8983	1056	8760	1221	8503	1538	9129	1018
60	10037	0	8732	1209	9934	0	6608	3485	10003	0
61	9914	0	8902	1218	9816	0	6497	3521	10114	0
62	8948	1160	9008	1041	6831	3145	8343	1529	7352	2566
63	8892	1100	9998	0	10029	0	10039	0	10023	0
64	8887	1186	10041	0	10140	0	9938	0	9895	0
65	8908	1211	9986	0	9973	0	10039	0	9926	0
66	8980	1187	10006	0	10154	0	8463	1613	9935	0
67	10092	0	8779	1241	9972	0	6432	3468	10193	0
68	10132	0	8663	1284	10071	0	6540	3517	9974	0
69	8930	1177	9841	0	10077	0	9898	0	10028	0
70	8905	1162	9992	0	9987	0	9879	0	9949	0
71	8842	1136	8857	1019	8767	1204	8256	1508	8984	1028
72	8847	1103	8940	1070	6903	2960	8583	1515	7488	2630
73	8948	1112	9976	0	10035	0	10074	0	10005	0
74	9014	1093	8885	1101	6994	3135	8561	1565	7444	2618
