#chr	normal	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
0	0	0.257142857143	0.275862068966	0.287234042553	0.422680412371	0.324786324786	0.505376344086	0.40404040404	0.475247524752	0.244680851064	0.541666666667
1	0	0.179775280899	0.131578947368	0.285714285714	0.275862068966	0.242424242424	0.271028037383	0.378378378378	0.339449541284	0.0989010989011	0.340206185567
2	0	0.242718446602	0.159574468085	0.239583333333	0.254545454545	0.266666666667	0.286956521739	0.345794392523	0.333333333333	0.130434782609	0.364485981308
3	0	0.0	0.141592920354	0.0	0.0	0.0	0.0	0.0	0.093023255814	0.20325203252	0.141304347826
4	0	0.243243243243	0.0	0.221052631579	0.257731958763	0.0	0.0	0.0	0.0	0.0	0.0
5	0	0.252747252747	0.0	0.159292035398	0.235294117647	0.0	0.27731092437	0.0	0.172727272727	0.0	0.0
6	0	0.326315789474	0.113402061856	0.371428571429	0.2265625	0.284403669725	0.343137254902	0.364485981308	0.376146788991	0.135922330097	0.314960629921
7	0	0.0	0.0705882352941	0.0	0.0	0.0	0.0	0.0	0.0989010989011	0.166666666667	0.214953271028
8	0	0.278350515464	0.0	0.271739130435	0.29347826087	0.222222222222	0.303571428571	0.181818181818	0.24	0.153846153846	0.0943396226415
9	0	0.268817204301	0.0	0.166666666667	0.261363636364	0.0	0.303921568627	0.0	0.173076923077	0.0	0.0
10	0	0.298076923077	0.183333333333	0.34	0.304761904762	0.282828282828	0.326315789474	0.372727272727	0.435643564356	0.120879120879	0.427184466019
11	0	0.224489795918	0.0	0.163265306122	0.232558139535	0.0	0.348837209302	0.0	0.152173913043	0.0	0.0
12	0	0.185567010309	0.0	0.175824175824	0.252747252747	0.0	0.367816091954	0.0	0.146788990826	0.0	0.0
13	0	0.0	0.114285714286	0.0	0.0	0.0	0.0	0.128712871287	0.0	0.0	0.0
14	0	0.474576271186	0.510416666667	0.516483516484	0.509803921569	0.469879518072	0.468085106383	0.488888888889	0.601851851852	0.521276595745	0.588235294118
15	0	0.0	0.12389380531	0.0	0.0	0.0	0.0	0.0	0.115044247788	0.168224299065	0.166666666667
16	0	0.254385964912	0.239316239316	0.196721311475	0.0	0.0	0.0	0.106796116505	0.0	0.148148148148	0.0
17	0	0.0	0.183673469388	0.0	0.0	0.0	0.0	0.0	0.163265306122	0.221153846154	0.140350877193
18	0	0.234234234234	0.271739130435	0.259615384615	0.516129032258	0.247191011236	0.536082474227	0.336842105263	0.571428571429	0.247422680412	0.565217391304
19	0	0.0	0.18018018018	0.0	0.0	0.0	0.0	0.0	0.144444444444	0.20618556701	0.197802197802
20	0	0.271844660194	0.0	0.369047619048	0.279569892473	0.336956521739	0.29	0.215053763441	0.282828282828	0.115789473684	0.155963302752
21	0	0.271739130435	0.16935483871	0.31067961165	0.220183486239	0.242718446602	0.279569892473	0.333333333333	0.391304347826	0.102803738318	0.3125
22	0	0.265306122449	0.0	0.204081632653	0.260416666667	0.0	0.284210526316	0.0	0.12962962963	0.0	0.0
23	0	0.15306122449	0.25	0.344086021505	0.584905660377	0.225806451613	0.505617977528	0.326530612245	0.494949494949	0.326732673267	0.525252525253
24	0	0.32	0.157303370787	0.184210526316	0.0	0.0	0.0	0.145833333333	0.0	0.141414141414	0.0
25	0	0.225490196078	0.142857142857	0.282608695652	0.267857142857	0.23	0.252525252525	0.333333333333	0.384615384615	0.151515151515	0.305555555556
26	0	0.0	0.0865384615385	0.0	0.0	0.0	0.0	0.165217391304	0.0	0.0	0.0
27	0	0.238636363636	0.25	0.195652173913	0.0	0.0	0.0	0.188118811881	0.0	0.135416666667	0.0
28	0	0.0	0.0804597701149	0.0	0.0	0.0	0.0	0.0	0.109090909091	0.147058823529	0.150943396226
29	0	0.256637168142	0.129310344828	0.367521367521	0.23595505618	0.278481012658	0.25	0.392156862745	0.377358490566	0.139534883721	0.322314049587
30	0	0.163043478261	0.270833333333	0.329787234043	0.485148514851	0.186046511628	0.380952380952	0.326086956522	0.45871559633	0.333333333333	0.48623853211
31	0	0.247706422018	0.078431372549	0.359550561798	0.234782608696	0.190909090909	0.324561403509	0.367816091954	0.368421052632	0.161904761905	0.330357142857
32	0	0.212121212121	0.0	0.276785714286	0.324074074074	0.0	0.366666666667	0.0	0.182692307692	0.0	0.0
33	0	0.30612244898	0.2	0.364705882353	0.274509803922	0.20202020202	0.305263157895	0.369565217391	0.392523364486	0.208333333333	0.305555555556
34	0	0.264150943396	0.126213592233	0.339622641509	0.272727272727	0.211009174312	0.197674418605	0.27358490566	0.372340425532	0.0792079207921	0.327433628319
35	0	0.298076923077	0.0	0.16	0.209523809524	0.0	0.230769230769	0.0	0.161904761905	0.0	0.0
36	0	0.0	0.116279069767	0.0	0.0	0.0	0.0	0.0	0.134831460674	0.14953271028	0.181818181818
37	0	0.21978021978	0.118811881188	0.289473684211	0.287128712871	0.252631578947	0.295918367347	0.31914893617	0.407407407407	0.104651162791	0.317307692308
38	0	0.280373831776	0.0	0.176991150442	0.191304347826	0.0	0.0	0.0	0.0	0.0	0.0
39	0	0.215053763441	0.161616161616	0.263636363636	0.277777777778	0.21568627451	0.364583333333	0.376237623762	0.357142857143	0.111111111111	0.36170212766
40	0	0.268518518519	0.0	0.170454545455	0.347826086957	0.0	0.0	0.0	0.0	0.0	0.0
41	0	0.247706422018	0.0	0.127450980392	0.201680672269	0.0	0.371681415929	0.0	0.13829787234	0.0	0.0
42	0	0.2	0.0	0.242718446602	0.277108433735	0.0	0.364583333333	0.0	0.116504854369	0.0	0.0
43	0	0.215384615385	0.0	0.135135135135	0.243243243243	0.0	0.31067961165	0.0	0.108333333333	0.0	0.0
44	0	0.289719626168	0.0	0.166666666667	0.257142857143	0.0	0.316666666667	0.0	0.1875	0.0	0.0
45	0	0.245454545455	0.255319148936	0.257731958763	0.530612244898	0.223214285714	0.549450549451	0.388349514563	0.561224489796	0.336538461538	0.457943925234
46	0	0.150684931507	0.0	0.207920792079	0.289719626168	0.0	0.3	0.0	0.144329896907	0.0	0.0
47	0	0.0	0.197916666667	0.0	0.0	0.0	0.0	0.0	0.134831460674	0.180722891566	0.166666666667
48	0	0.216494845361	0.258426966292	0.21568627451	0.479166666667	0.291262135922	0.514018691589	0.415841584158	0.421568627451	0.31914893617	0.527472527473
49	0	0.229166666667	0.300970873786	0.313725490196	0.520408163265	0.263157894737	0.445454545455	0.459459459459	0.494505494505	0.340206185567	0.50495049505
