gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14	sample15	sample15	sample16	sample16	sample17	sample17	sample18	sample18	sample19	sample19
0	7495	2370	9938	0	9977	0	8451	1530	10016	0	8749	1231	9926	0	8837	1095	8829	1387	10145	0	9928	0	9973	0	8771	1242	9917	0	7526	2609	7612	2454	7548	2573	9794	0	8263	1761	9930	0
1	10008	0	9841	0	9951	0	8475	1496	10070	0	9895	0	9996	0	10098	0	8399	1372	9975	0	9936	0	10059	0	10056	0	10043	0	7405	2700	7518	2425	7697	2441	9974	0	8340	1700	9999	0
2	7531	2344	8532	1391	6202	3785	5888	4072	10050	0	6188	3919	6576	3281	7689	2447	5010	4871	6707	3076	8070	2030	8210	1722	5900	4080	7597	2276	7459	2627	7691	2416	7611	2423	8783	1397	8335	1782	7104	2747
3	7575	2392	9997	0	9886	0	8384	1502	10037	0	8723	1161	10108	0	8782	1085	8551	1362	9924	0	10118	0	10014	0	8700	1312	10099	0	7436	2633	7508	2474	7644	2324	10016	0	8269	1767	10009	0
4	7728	2354	10172	0	9908	0	8449	1546	10003	0	8886	1238	9886	0	8903	1113	8540	1360	10015	0	9821	0	10036	0	8715	1260	10030	0	7382	2645	7510	2462	7504	2363	9905	0	8130	1717	10022	0
5	7676	2386	8704	1415	6108	3781	5978	4087	9848	0	6162	3844	6657	3250	7700	2347	4965	5018	6903	3131	7961	2118	8084	1796	5936	4151	7565	2315	7326	2554	7527	2458	7399	2436	8595	1381	8534	1852	7164	2815
6	7562	2411	8641	1335	8792	1330	8432	1493	9938	0	7732	2367	8657	1341	7523	2392	7192	2668	6948	3062	7727	2045	10094	0	7452	2447	7637	2427	7579	2542	7548	2385	7651	2453	10042	0	8279	1645	9861	0
7	9971	0	10112	0	10163	0	8469	1502	10032	0	9963	0	10010	0	10058	0	8651	1285	9975	0	10061	0	9955	0	9847	0	10016	0	7400	2633	7588	2416	7494	2510	9990	0	8361	1668	9928	0
8	7560	2434	10050	0	9961	0	8482	1427	9988	0	8719	1186	10129	0	8885	1162	8515	1349	10104	0	9901	0	10049	0	8750	1311	9974	0	7357	2622	7556	2456	7648	2392	10089	0	8224	1742	9876	0
9	7365	2595	7824	2169	8887	1226	9018	961	5001	5006	8973	1216	8423	1642	8792	1148	9814	0	9899	0	9906	0	8419	1529	9017	956	9968	0	7603	2400	9886	0	9840	0	8704	1313	8575	1451	7805	2229
10	7555	2379	9883	0	9816	0	8557	1558	9890	0	9010	1158	10058	0	8887	1120	8549	1306	9961	0	9837	0	10214	0	8717	1303	9941	0	7336	2579	7425	2522	7536	2444	10003	0	8314	1698	9928	0
11	7315	2563	7990	2176	8921	1202	9169	926	4853	4987	8743	1213	8158	1693	8766	1245	9937	0	10224	0	10054	0	8626	1594	9106	938	9833	0	7648	2365	9978	0	10014	0	8804	1370	8445	1491	7911	2272
12	7601	2405	8706	1372	7668	2338	7456	2502	10022	0	7626	2342	8662	1366	7540	2437	6367	3576	6852	3052	7897	2065	9815	0	7436	2476	7814	2439	7377	2739	7517	2457	7728	2474	8630	1392	8209	1708	9901	0
13	7771	2375	8554	1360	7645	2281	7513	2535	9995	0	7604	2277	8706	1369	7625	2308	6429	3607	6850	3089	7744	2096	9901	0	7452	2495	7657	2426	7435	2587	7540	2490	7697	2441	8619	1353	8481	1700	9994	0
14	10060	0	9972	0	10143	0	10050	0	9944	0	8825	1173	8731	1371	9941	0	10024	0	8725	1344	7949	2050	10105	0	8896	1202	9888	0	10020	0	10198	0	10174	0	9858	0	9958	0	9987	0
15	7431	2630	7990	2121	8797	1193	9018	949	5050	4960	8779	1169	8318	1609	8793	1221	9971	0	10106	0	9989	0	8293	1499	9049	942	10059	0	7648	2345	10073	0	9888	0	8796	1293	8375	1523	7935	2264
16	7534	2402	9969	0	10098	0	8278	1528	10002	0	8743	1167	9957	0	8949	1077	8650	1381	9961	0	9886	0	10035	0	8516	1257	10183	0	7349	2575	7606	2468	7380	2424	9864	0	8439	1744	10020	0
17	7799	2403	9834	0	9931	0	8373	1542	9893	0	8881	1176	10109	0	8897	1104	8638	1377	9888	0	10139	0	9959	0	8889	1290	10191	0	7341	2641	7447	2500	7711	2411	9990	0	8305	1730	10067	0
18	7583	2364	10019	0	10117	0	8493	1455	10011	0	8865	1184	9984	0	8931	1139	8523	1357	9935	0	10021	0	10073	0	8543	1299	9869	0	7470	2646	7476	2394	7579	2483	10072	0	8417	1769	10086	0
19	10021	0	9172	888	9988	0	8981	922	10133	0	10096	0	9972	0	9964	0	10135	0	9777	0	10213	0	10155	0	9075	956	9911	0	10172	0	9967	0	10017	0	8821	1281	9992	0	10067	0
20	7633	2335	9963	0	10001	0	8367	1520	10050	0	8813	1223	10001	0	9019	1106	8655	1344	9931	0	10043	0	10039	0	8699	1303	10139	0	7398	2647	7479	2571	7630	2448	10024	0	8139	1747	9949	0
