gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14	sample15	sample15	sample16	sample16	sample17	sample17	sample18	sample18	sample19	sample19
0	10212	0	7560	2465	10056	0	10152	0	7935	1954	10042	0	10027	0	9910	0	7085	2828	10006	0	10052	0	7816	2074	9845	0	7870	2087	9961	0	9963	0	9902	0	9889	0	9884	0	10007	0
1	7472	2545	10156	0	10112	0	9961	0	9730	0	9866	0	8105	1722	8028	1931	10010	0	9911	0	9797	0	10161	0	7857	2311	8129	1863	9967	0	9994	0	7928	2060	10012	0	10061	0	9944	0
2	9916	0	7429	2586	6098	3981	6460	3496	10275	0	9993	0	10091	0	10020	0	10053	0	6965	3018	10014	0	10236	0	10062	0	10084	0	6996	2870	8125	1863	9948	0	7313	2760	7383	2767	10092	0
3	10035	0	9888	0	9032	1039	10049	0	9980	0	9898	0	9928	0	10004	0	10142	0	9931	0	9994	0	10045	0	8685	1258	8966	1092	10191	0	10009	0	9969	0	9694	0	10004	0	10225	0
4	7480	2572	7436	2461	10030	0	8490	1443	7891	1910	7560	2548	8159	1782	8030	1959	7248	2873	9948	0	7535	2589	7920	2096	7696	2250	6039	3925	10047	0	8316	1511	7998	1990	10001	0	7812	2263	8281	1682
5	5011	5053	7485	2570	9011	1016	8521	1422	4917	5012	4930	4936	5099	4983	5006	5021	4974	4832	7985	2023	4996	5017	5052	4899	4996	4984	4966	4970	7758	2260	6746	3227	5043	5043	7787	2229	7714	2210	5113	4979
6	9976	0	9962	0	8872	1019	10058	0	9857	0	10137	0	9793	0	9799	0	9844	0	10194	0	9942	0	10162	0	8685	1216	8880	1066	9999	0	9967	0	10032	0	9894	0	9956	0	9890	0
7	10010	0	10072	0	9054	1054	9983	0	9929	0	10056	0	9878	0	10033	0	10022	0	10083	0	9930	0	9870	0	8759	1293	8705	1064	9861	0	10074	0	9849	0	9912	0	9975	0	10095	0
8	9847	0	9816	0	8891	1050	9951	0	10056	0	9682	0	9979	0	10206	0	10158	0	10204	0	9912	0	10148	0	8646	1278	9047	1042	10122	0	10136	0	10120	0	10054	0	9924	0	9993	0
9	7321	2632	7480	2490	10005	0	8399	1465	8168	1948	7483	2568	8367	1747	7855	1946	7095	2826	9788	0	7381	2569	7894	2106	7701	2223	6066	3913	10229	0	8504	1543	8039	2068	9944	0	7685	2205	8162	1677
10	7493	2565	10029	0	9899	0	9987	0	10102	0	10076	0	8218	1775	8107	1887	10075	0	10107	0	10088	0	10006	0	7758	2110	8045	1908	9878	0	9807	0	7991	1927	9989	0	9794	0	9899	0
11	10206	0	10016	0	9043	1003	10022	0	8249	1509	7588	2464	8466	1528	8793	1260	9954	0	9208	903	7603	2345	8869	1224	7266	2784	8848	1029	7908	2207	9986	0	8767	1294	9801	0	10000	0	10013	0
12	9975	0	10016	0	9042	1014	10077	0	8441	1553	7668	2586	8469	1541	8678	1282	10002	0	9052	872	7598	2465	8577	1272	7249	2677	8994	1079	7895	2162	9940	0	8717	1312	10056	0	9893	0	9817	0
13	7456	2615	7500	2474	8955	993	8574	1430	4976	4970	4982	5025	6531	3363	6777	3138	5106	5170	8019	1993	5034	5067	4950	4929	5038	4937	4926	5122	7714	2234	8573	1530	4961	5010	7895	2210	7684	2223	6850	3392
14	9828	0	10036	0	9046	1020	10049	0	8309	1571	7535	2562	8391	1578	8725	1248	10120	0	8811	891	7585	2459	8823	1267	7202	2728	9013	1051	7614	2211	10086	0	8725	1351	10033	0	9811	0	10056	0
15	7422	2625	7585	2488	10015	0	8606	1464	8246	1961	7421	2447	8125	1834	8003	2010	7165	2821	9987	0	7401	2618	7856	2092	7654	2221	5971	3901	10171	0	8482	1462	7933	2101	10038	0	7669	2297	8243	1654
