gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9
0	87	0	103	0	95	0	107	0	107	0	98	0	98	0	102	0	78	17	91	0
1	113	0	91	0	105	0	91	0	93	0	103	0	99	0	109	0	94	26	103	0
2	84	0	78	0	85	14	74	13	82	0	88	0	114	0	77	9	94	0	67	12
3	98	0	105	0	96	0	94	0	84	0	85	0	104	0	111	0	71	21	81	0
4	99	0	110	0	88	12	81	14	83	0	89	0	95	0	92	19	112	0	60	24
5	90	19	79	17	80	8	98	13	78	18	100	0	121	0	95	0	85	10	104	0
6	88	0	78	0	84	14	108	0	93	0	97	22	102	0	87	22	96	0	94	0
7	102	0	108	0	89	6	80	14	95	0	100	0	98	0	103	6	99	0	78	16
8	103	0	98	0	92	0	96	0	104	0	111	0	108	0	97	0	84	21	99	0
9	99	0	104	0	108	0	90	0	64	36	76	13	78	15	78	13	86	0	85	0
10	96	0	92	0	99	0	63	10	94	0	106	0	90	0	102	0	101	0	90	0
11	105	0	101	0	102	0	81	0	85	16	107	10	67	20	88	11	110	0	90	0
12	129	0	113	0	83	19	94	0	115	0	81	15	93	0	94	17	88	0	80	0
13	101	0	101	0	68	17	98	0	102	0	80	17	105	0	81	9	99	0	105	0
14	95	13	67	26	85	13	79	12	82	27	111	0	97	0	95	0	88	14	97	0
15	69	33	66	35	86	17	77	29	100	0	92	22	81	34	92	0	59	42	70	23
16	94	0	99	0	108	0	106	0	68	29	99	16	87	9	72	24	102	0	92	0
17	59	62	84	20	62	26	64	51	67	20	92	12	67	26	76	16	63	24	44	55
18	109	0	93	0	86	0	108	0	63	20	91	10	82	28	85	15	107	0	113	0
19	54	44	57	20	100	11	76	22	109	0	68	25	79	30	94	0	70	40	82	26
20	89	0	100	0	111	0	81	0	104	0	107	0	103	0	100	0	61	22	85	0
21	93	0	107	0	90	0	103	0	74	19	69	8	89	27	58	19	100	0	108	0
22	111	0	93	0	95	0	92	0	102	0	106	0	98	0	91	0	78	22	108	0
23	85	0	112	0	83	9	81	18	100	0	104	0	82	0	91	14	102	0	66	27
24	87	0	100	0	93	15	95	0	98	0	78	10	111	0	72	19	87	0	110	0
25	44	35	74	37	73	9	81	24	105	0	69	22	74	41	92	0	56	41	70	24
26	110	0	116	0	98	11	91	25	107	0	91	0	83	0	90	19	105	0	80	24
27	103	0	90	0	105	0	100	0	78	27	85	9	78	24	84	13	93	0	125	0
28	101	0	75	0	92	13	68	8	91	0	120	0	101	0	80	12	100	0	67	24
29	104	0	100	0	80	7	83	11	111	0	88	0	103	0	97	8	112	0	77	23
30	72	33	61	29	82	14	85	19	107	0	80	18	69	30	100	0	59	44	67	25
31	102	0	107	0	113	0	82	11	99	0	93	0	107	0	98	0	88	0	110	0
32	90	0	110	0	87	0	84	0	89	17	82	8	76	23	87	16	100	0	96	0
33	79	0	102	0	81	14	99	10	100	0	108	0	98	0	72	9	97	0	90	23
34	61	33	69	29	102	13	73	18	91	0	71	26	70	25	79	0	56	38	77	31
35	110	0	109	0	103	0	96	0	81	0	94	0	106	0	99	0	95	12	104	0
36	103	0	108	0	118	0	104	0	68	27	86	17	81	28	87	16	100	0	123	0
37	94	0	101	0	107	0	101	0	127	0	105	0	104	0	103	0	88	19	90	0
38	106	0	81	0	96	16	86	13	105	0	95	0	104	0	88	14	91	0	61	14
39	93	0	100	0	109	0	81	0	60	26	82	12	74	19	101	13	112	0	95	0
40	81	35	79	34	79	7	75	20	91	0	75	20	73	26	92	0	72	43	89	22
41	104	0	125	0	82	13	72	16	110	0	98	0	89	0	96	12	87	0	68	26
42	87	13	76	16	82	10	74	6	78	22	119	0	90	0	114	0	93	15	96	0
43	90	22	67	20	97	10	91	6	84	27	107	0	78	0	99	0	109	9	89	0
44	91	0	109	0	93	0	98	0	103	0	102	0	95	0	112	0	75	13	90	0
45	67	22	66	47	81	10	68	19	105	0	90	14	76	31	99	0	58	39	91	25
46	111	0	93	0	83	11	101	0	116	0	77	10	97	0	82	8	102	0	90	0
47	109	0	105	0	104	0	95	0	104	0	89	0	111	0	101	0	82	28	104	0
48	97	0	103	0	93	0	98	0	69	41	95	14	66	18	84	14	93	0	101	0
49	76	27	74	25	74	10	84	21	103	0	81	18	76	33	89	0	69	39	66	27
50	97	28	77	32	87	11	78	8	104	0	65	13	65	34	94	0	71	35	61	26
51	100	0	113	0	105	0	101	0	77	36	90	13	80	18	73	9	107	0	109	0
52	80	0	98	0	112	0	90	0	66	23	91	17	84	25	97	12	89	0	93	0
53	97	0	101	0	120	0	91	12	106	0	106	0	98	0	82	0	77	0	95	0
54	113	0	115	0	85	17	83	16	97	0	90	0	106	0	95	14	108	0	74	25
55	89	23	64	21	100	6	120	5	71	23	90	0	102	0	102	0	83	10	97	0
56	89	0	90	0	96	0	84	9	111	0	113	0	95	0	104	0	99	0	93	0
57	101	0	100	0	78	19	93	0	94	0	86	14	86	0	71	14	101	0	99	0
58	121	0	109	0	89	10	79	17	118	0	98	0	106	0	90	11	90	0	70	18
59	111	0	99	0	94	13	104	16	87	0	104	0	88	0	89	3	100	0	85	21
60	96	0	101	0	115	0	94	0	70	25	80	11	75	25	96	4	108	0	102	0
61	103	0	108	0	84	12	90	14	107	0	94	0	89	0	80	17	118	0	81	28
62	97	0	92	0	103	0	103	0	61	39	82	13	73	20	77	12	83	0	101	0
63	105	0	97	0	78	12	113	0	98	0	81	12	108	0	93	12	100	0	103	0
64	71	37	67	27	104	10	90	17	110	0	81	21	92	34	105	0	57	30	59	22
65	82	22	86	18	89	12	94	7	79	16	91	0	93	0	104	0	81	12	114	0
66	126	0	89	0	94	0	82	12	107	0	87	0	97	0	98	0	80	0	87	0
67	85	0	88	0	106	0	114	0	90	0	105	0	100	0	95	0	84	11	102	0
68	103	0	92	0	112	0	112	0	77	25	89	17	80	19	91	10	106	0	95	0
69	89	0	83	0	92	0	93	10	98	0	100	0	104	0	105	0	100	0	112	0
70	81	0	94	0	97	0	110	0	79	28	97	13	90	27	108	10	87	0	97	0
71	107	0	117	0	105	0	122	0	64	28	93	7	81	29	86	10	98	0	98	0
72	70	41	65	25	82	14	90	20	94	0	84	32	88	39	103	0	71	34	66	23
73	89	24	87	17	101	10	96	11	77	26	107	0	105	0	94	0	89	12	85	0
74	113	0	107	0	97	0	98	0	77	37	81	10	72	23	82	10	98	0	114	0
75	113	0	94	0	88	0	91	12	95	0	89	0	110	0	73	0	92	0	96	0
76	115	0	95	0	97	0	105	0	69	18	107	11	78	21	94	7	99	0	95	0
77	66	27	59	28	90	8	71	22	98	0	86	16	66	24	90	0	54	36	72	29
78	94	0	91	0	92	0	104	0	111	0	98	0	100	0	121	0	80	13	116	0
79	113	0	102	0	111	0	93	0	83	0	104	0	93	0	107	0	82	16	96	0
80	94	0	108	0	100	0	98	11	111	0	98	0	108	0	106	0	97	0	83	0
81	87	0	92	0	70	12	78	9	94	0	120	0	105	0	88	12	126	0	79	16
82	105	0	90	0	96	0	110	0	86	34	94	11	84	16	104	11	110	0	86	0
83	90	0	95	0	81	0	93	0	81	0	86	0	90	0	116	0	83	16	84	0
84	104	0	116	0	124	0	92	0	76	27	80	12	83	22	95	12	83	0	90	0
85	101	0	99	0	71	15	74	12	93	0	86	0	108	0	85	12	95	0	76	13
86	87	14	76	19	90	14	103	6	75	12	87	0	90	0	94	0	97	5	123	0
87	58	31	83	29	75	11	90	20	84	0	86	30	84	27	90	0	64	28	63	26
88	104	0	95	0	91	14	72	18	89	0	86	0	88	0	84	21	117	0	82	24
89	98	0	93	0	101	0	102	0	65	25	101	13	77	19	69	25	102	0	108	0
90	115	0	97	0	101	0	93	0	123	0	100	0	86	0	90	0	92	21	93	0
91	53	37	57	28	78	11	67	12	94	0	61	18	54	33	105	0	66	32	76	26
92	118	0	80	0	88	0	96	0	60	40	105	15	94	16	85	6	89	0	78	0
93	111	0	116	0	82	15	100	0	98	0	93	13	97	0	84	15	111	0	96	0
94	87	0	111	0	84	0	103	0	109	0	122	0	103	0	94	0	82	24	85	0
95	68	35	104	0	109	0	98	12	108	0	111	0	71	28	87	0	96	0	74	32
96	78	31	69	26	86	11	82	26	120	0	76	15	67	23	98	0	64	43	77	24
97	94	37	69	35	88	10	58	25	80	0	81	32	87	21	94	0	74	38	72	30
98	98	0	98	0	95	0	98	0	65	37	84	10	79	23	90	15	122	0	99	0
99	99	0	96	0	84	20	83	12	108	0	104	0	82	0	78	8	91	0	63	31
