gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14
0	736	288	806	209	774	234	762	240	528	499	839	157	492	525	892	137	818	173	851	131	791	223	608	376	664	299	484	491	505	493
1	988	0	721	304	1006	0	847	130	1014	0	786	205	1008	0	774	185	825	183	739	206	876	156	863	133	834	155	956	0	999	0
2	766	262	952	0	781	206	845	110	605	390	860	142	593	404	780	152	984	0	1004	0	819	130	752	221	841	209	485	508	624	373
3	709	268	968	0	795	196	892	132	649	380	851	137	594	420	846	164	990	0	1026	0	898	117	753	227	802	198	488	512	638	364
4	866	140	986	0	974	0	1029	0	945	0	988	0	867	143	1029	0	1019	0	948	0	990	0	973	0	818	187	687	264	787	208
5	962	0	732	293	974	0	789	136	971	0	834	192	973	0	808	173	994	0	805	242	893	150	1010	0	1004	0	1068	0	994	0
6	722	241	778	180	821	190	744	235	541	538	870	133	506	497	904	170	783	188	857	140	745	231	642	356	662	316	478	483	503	487
7	969	0	706	265	1025	0	888	156	903	0	823	194	1020	0	798	183	956	0	771	247	884	125	977	0	936	0	1015	0	1024	0
8	1001	0	723	326	1013	0	873	152	999	0	827	191	1006	0	835	233	985	0	717	222	882	173	1028	0	943	0	1027	0	996	0
9	1003	0	673	298	1011	0	847	173	1031	0	845	192	986	0	783	197	1037	0	718	256	779	134	1058	0	925	0	1039	0	1003	0
10	975	0	688	301	995	0	838	158	968	0	790	210	936	0	800	178	983	0	795	234	901	169	959	0	1013	0	944	0	1047	0
11	759	262	959	0	806	189	904	110	774	235	963	0	644	398	834	147	1020	0	1013	0	911	122	937	98	799	189	489	481	642	359
12	598	396	828	212	515	525	616	319	473	487	650	287	527	514	626	296	841	171	883	149	633	363	621	337	653	325	499	505	483	483
13	704	239	795	222	773	198	794	233	505	523	849	164	533	469	875	135	806	172	852	125	765	238	677	349	620	320	524	501	524	505
14	1010	0	689	288	951	0	817	162	981	0	757	216	1025	0	770	205	800	178	739	248	870	148	852	133	806	177	1005	0	1022	0
15	981	0	693	300	984	0	829	173	1022	0	800	197	989	0	813	204	999	0	709	216	851	148	974	0	977	0	1016	0	1026	0
16	760	271	999	0	795	215	948	122	604	362	828	150	628	406	829	170	956	0	1024	0	875	114	774	248	808	170	516	490	577	381
17	1009	0	758	283	990	0	885	150	1013	0	788	182	984	0	786	199	827	179	710	223	844	156	894	143	861	165	971	0	1019	0
18	673	285	994	0	780	214	856	120	570	363	843	154	582	375	842	163	979	0	983	0	878	114	784	243	774	191	496	497	657	387
19	757	253	1041	0	821	195	872	112	723	226	1027	0	613	418	845	164	988	0	961	0	932	116	915	107	802	202	458	524	587	353
20	705	270	1020	0	838	214	923	110	636	391	837	157	626	388	846	150	997	0	1038	0	892	113	796	206	817	196	516	510	611	387
21	732	258	751	219	829	182	748	230	514	480	848	148	520	509	861	151	806	157	835	147	756	241	586	397	661	325	512	497	538	540
22	751	259	726	198	803	201	774	205	489	473	887	158	513	545	850	161	867	193	852	132	788	220	644	360	661	329	529	503	479	522
23	947	0	715	306	1036	0	850	148	961	0	797	205	1020	0	819	164	953	0	757	221	801	158	992	0	969	0	1010	0	941	0
24	722	265	1015	0	828	172	902	116	619	382	855	146	609	420	824	146	1044	0	997	0	849	103	733	205	844	192	480	516	662	380
25	1011	0	689	271	963	0	811	147	969	0	799	202	1016	0	772	198	1037	0	789	221	907	170	975	0	997	0	1011	0	997	0
26	761	293	962	0	830	192	867	95	645	392	841	161	628	356	863	168	993	0	1016	0	916	120	825	207	754	194	486	488	585	387
27	755	270	794	218	825	233	765	230	460	505	821	157	521	488	860	148	803	174	791	135	730	186	637	372	662	355	448	484	514	500
28	729	250	785	205	792	211	786	253	524	500	829	143	486	528	848	163	900	194	886	132	791	217	602	334	642	346	483	477	572	500
