gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14
0	75	20	74	22	92	0	55	56	83	17	58	34	50	44	79	19	94	0	77	25	41	60	97	21	81	9	76	16	79	0
1	65	28	67	16	90	0	55	48	87	12	78	42	40	58	83	10	107	0	68	27	50	56	87	24	89	21	95	13	104	0
2	105	0	85	0	106	0	97	0	81	0	90	10	70	28	99	0	104	0	112	0	67	20	100	11	90	0	98	0	107	0
3	58	15	68	25	107	0	48	45	79	17	57	30	52	39	97	17	114	0	70	23	45	61	81	19	85	18	84	12	96	0
4	71	25	97	0	91	0	77	30	99	0	83	15	101	0	78	0	118	0	79	30	75	28	111	0	93	0	112	0	120	0
5	43	65	66	20	51	53	49	51	64	41	48	48	59	48	59	36	70	31	51	41	46	55	53	42	49	43	74	29	51	43
6	82	27	63	24	101	0	44	46	97	20	64	45	49	40	90	9	99	0	81	20	55	43	78	23	99	11	79	21	86	0
7	79	30	70	24	99	0	48	41	94	16	83	41	51	54	94	21	97	0	64	24	47	55	81	37	89	10	93	13	109	0
8	95	22	96	0	108	0	62	22	98	0	106	7	106	0	113	0	107	0	77	34	81	25	103	0	100	0	92	0	126	0
9	106	0	91	0	101	0	91	0	104	0	92	9	69	25	106	0	106	0	105	0	56	28	87	8	111	0	106	0	90	0
10	87	0	112	0	80	25	88	0	88	11	73	9	97	0	82	9	89	14	115	0	91	0	65	35	74	29	76	0	118	0
11	91	0	103	0	91	0	103	0	102	0	78	10	74	20	106	0	92	0	110	0	70	25	110	12	90	0	116	0	101	0
12	56	56	69	31	55	50	52	50	59	33	43	50	49	38	51	45	74	41	52	53	64	35	48	49	44	51	87	28	66	64
13	79	28	76	0	97	0	71	22	113	0	88	12	106	0	114	0	78	0	67	26	88	22	106	0	97	0	112	0	107	0
14	95	0	63	33	95	0	102	0	93	14	98	0	93	0	87	10	73	20	92	0	113	0	101	0	104	0	63	20	118	0
15	68	19	74	32	83	0	45	46	69	11	73	46	43	54	78	17	100	0	67	20	60	53	80	22	83	18	103	19	101	0
16	63	37	71	31	59	47	58	41	69	35	58	51	52	59	60	47	57	39	53	45	41	40	56	41	48	47	58	30	56	48
17	86	25	77	22	96	0	45	50	95	16	44	40	47	58	88	7	104	0	84	22	45	46	88	27	80	14	76	10	104	0
18	99	0	89	0	78	36	94	0	79	10	67	6	111	0	74	20	83	24	95	0	109	0	76	26	90	23	105	0	94	0
19	48	53	73	22	48	61	54	51	50	32	50	63	52	49	50	25	83	29	55	50	47	53	49	37	54	54	86	32	55	47
20	90	26	99	0	58	33	99	0	85	14	71	15	92	0	73	11	76	19	114	0	97	0	75	28	54	35	89	9	70	25
21	113	0	64	23	103	0	94	0	89	8	84	0	93	0	86	16	95	21	100	0	102	0	114	0	102	0	82	24	104	0
22	79	25	86	27	103	0	44	47	75	9	76	35	47	47	78	10	89	0	76	19	51	40	67	24	70	15	78	10	94	0
23	95	0	104	0	76	0	117	0	89	0	83	16	66	27	95	0	127	0	88	0	69	32	90	8	97	0	94	0	101	0
24	61	49	86	19	42	40	61	37	67	33	60	47	53	43	64	29	66	27	60	46	52	45	65	41	51	53	84	27	50	54
25	88	0	93	0	107	0	122	0	99	0	105	7	80	19	122	0	104	0	107	0	65	34	93	6	104	0	84	0	108	0
26	81	24	71	27	98	0	55	40	87	5	62	43	51	58	93	15	103	0	83	28	45	41	79	20	83	5	63	12	99	0
27	110	0	97	0	90	0	117	0	103	0	99	0	66	25	115	0	87	0	90	0	65	42	117	0	92	0	91	0	123	0
28	87	0	88	0	83	17	114	0	88	15	92	16	95	0	81	13	72	20	100	0	96	0	79	24	77	22	81	0	116	0
29	57	59	76	25	46	60	48	56	79	49	41	51	46	52	55	36	73	27	46	50	47	53	49	44	54	44	75	31	54	55
30	105	0	109	0	83	15	113	0	96	18	100	5	109	0	90	12	85	25	108	0	96	0	65	34	72	17	102	0	95	0
31	69	23	87	28	113	0	42	38	83	11	54	43	38	59	88	16	78	0	74	21	54	52	92	30	77	20	85	16	94	0
32	113	0	87	22	95	0	88	0	86	24	97	0	103	0	78	13	86	10	89	0	86	0	114	0	99	0	83	24	97	0
33	97	0	93	0	87	0	91	0	107	0	92	0	67	25	95	0	87	0	82	0	73	30	102	0	90	0	109	0	106	0
34	84	30	77	29	91	0	48	54	85	12	58	33	61	56	86	14	101	0	93	28	39	46	60	24	82	17	81	12	91	0
35	101	0	96	0	114	0	106	0	93	0	121	0	76	29	89	0	95	0	92	0	67	18	104	0	109	0	102	0	102	0
36	97	0	90	0	105	0	109	0	117	0	85	7	88	0	111	0	108	0	104	0	93	0	95	11	77	11	104	0	97	0
