gene_id	sample0	sample0	sample1	sample1	sample2	sample2	sample3	sample3	sample4	sample4	sample5	sample5	sample6	sample6	sample7	sample7	sample8	sample8	sample9	sample9	sample10	sample10	sample11	sample11	sample12	sample12	sample13	sample13	sample14	sample14
0	74	10	96	0	85	11	92	0	96	0	117	0	73	22	91	0	113	0	100	0	105	0	101	0	96	0	81	28	119	0
1	85	15	73	12	101	12	90	12	92	0	84	14	105	0	104	0	106	0	96	0	101	0	97	0	90	17	85	14	77	14
2	90	11	85	9	87	25	83	18	65	16	85	17	118	0	66	30	65	25	66	30	83	24	98	0	84	15	73	0	91	0
3	77	31	68	41	72	20	62	62	75	31	65	31	80	19	46	56	46	61	45	61	58	36	73	39	58	35	85	16	46	54
4	93	0	93	0	96	20	111	0	81	8	101	0	96	0	102	0	96	0	83	0	103	0	84	20	92	0	109	0	112	0
5	89	0	87	0	98	11	81	12	101	0	94	10	117	0	92	0	101	0	118	0	102	0	112	0	104	0	77	23	80	16
6	88	0	84	0	104	0	100	0	101	0	103	0	102	0	83	9	80	15	70	25	75	19	98	0	103	0	88	0	106	0
7	115	0	81	0	120	0	107	0	91	0	83	0	98	0	90	10	84	14	87	30	85	9	99	0	104	0	81	0	96	0
8	87	9	86	13	97	13	89	21	97	24	74	20	106	0	77	29	75	15	66	27	79	22	118	0	95	12	108	0	86	0
9	83	15	102	0	81	9	82	0	96	0	105	0	97	30	96	0	107	0	90	0	100	0	90	0	79	0	72	23	97	0
10	78	23	84	14	85	3	88	11	105	0	96	9	109	0	93	0	91	0	98	0	105	0	88	0	87	12	85	22	73	16
11	108	0	111	0	93	15	97	0	65	23	100	0	83	0	101	0	94	0	102	0	110	0	80	7	94	0	105	0	99	0
12	84	12	73	15	74	9	79	18	75	0	75	10	121	0	94	0	108	0	81	0	101	0	85	0	77	12	74	25	75	11
13	61	18	91	26	91	8	68	37	94	0	104	14	102	0	93	9	88	16	81	27	85	11	79	22	61	38	71	24	56	39
14	75	21	62	11	79	10	79	13	109	0	88	8	115	0	104	0	100	0	86	0	113	0	108	0	85	13	85	23	73	13
15	78	20	114	0	88	16	93	0	104	0	105	0	74	27	96	0	98	0	102	0	86	0	86	0	112	0	70	28	100	0
16	84	29	62	41	65	33	62	58	73	34	65	41	75	21	53	65	50	50	47	54	75	41	66	32	61	48	86	34	45	49
17	92	14	94	0	85	9	97	0	107	0	106	0	68	22	101	0	87	0	104	0	94	0	99	0	98	0	73	29	97	0
18	78	21	100	0	90	18	84	0	105	0	100	0	60	22	95	0	89	0	110	0	112	0	106	0	85	0	64	27	99	0
19	97	0	96	0	93	16	95	0	81	29	107	0	108	0	98	0	93	0	102	0	90	0	70	10	92	0	108	0	105	0
20	90	25	78	14	91	6	89	14	118	0	77	10	106	0	90	0	98	0	104	0	123	0	109	0	92	15	73	17	91	15
21	100	0	102	0	72	7	84	12	105	0	87	10	94	0	91	0	83	0	100	0	101	0	103	0	103	0	88	17	80	15
22	69	47	62	51	55	39	56	44	51	42	43	41	72	20	55	51	43	54	53	54	50	32	57	54	53	46	77	22	49	51
23	92	0	98	0	100	0	100	0	103	0	80	0	112	0	82	16	79	12	83	26	97	15	95	0	86	0	96	0	95	0
24	102	0	95	0	115	0	109	0	81	0	102	0	94	0	89	10	92	5	81	18	83	12	125	0	103	0	103	0	91	0
25	71	11	97	0	83	18	111	0	102	0	96	0	76	29	103	0	100	0	99	0	103	0	101	0	98	0	75	26	97	0
26	99	11	70	17	81	9	70	12	63	31	88	22	103	0	70	20	77	19	78	27	80	22	86	0	75	15	89	0	95	0
27	63	34	50	44	57	42	40	51	62	61	53	47	79	21	49	50	43	43	40	54	54	53	47	54	39	51	69	22	48	53
